Name,Long_Lat,Borough,Precinct,longitude, latitude
Howland Hook,-74.1862233174983 40.638432837947995,Staten Island,121,-74.18622332,40.63843284
Ozone Park,-73.84320266173454 40.68070846826546,Queens,106,-73.84320266,40.68070847
Midland Beach,-74.09348266303599 40.573526905742874,Staten Island,122,-74.09348266,40.57352691
Murray Hill,-73.81276269135873 40.7641261226141,Queens,109,-73.81276269,40.76412612
Port Richmond,-74.12943426797015 40.63366930554369,Staten Island,121,-74.12943427,40.63366931
Clifton,-74.07264244548406 40.61917845202847,Staten Island,120,-74.07264245,40.61917845
Washington Heights,-73.93690027985242 40.85190252555309,Manhattan,34,-73.93690028,40.85190253
Randall Manor,-74.09805062373894 40.63563000681155,Staten Island,120,-74.09805062,40.63563001
Throgs Neck,-73.8163500215845 40.815109258040096,Bronx,45,-73.81635002,40.81510926
Cypress Hills,-73.87583132262635 40.6846357939163,Brooklyn,75,-73.87583132,40.68463579
Arverne,-73.7919923313695 40.58914394372975,Queens,100,-73.79199233,40.58914394
Stuyvesant Town,-73.9740517046921 40.73099955477065,Manhattan,13,-73.9740517,40.73099955
Greenpoint,-73.954240931274 40.730200984864744,Brooklyn,94,-73.95424093,40.73020098
Concourse,-73.91558941773451 40.834283807338544,Bronx,44,-73.91558942,40.83428381
New Dorp Beach,-74.10432707469131 40.56425549307338,Staten Island,122,-74.10432707,40.56425549
Whitestone,-73.8142021661087 40.781290766026984,Queens,109,-73.81420217,40.78129077
Lower East Side,-73.98089031999298 40.71780674892769,Manhattan,7,-73.98089032,40.71780675
Huguenot,-74.19174105747821 40.53191192048964,Staten Island,123,-74.19174106,40.53191192
West Brighton,-74.10718178265617 40.63187892654611,Staten Island,120,-74.10718178,40.63187893
Prospect Heights,-73.96485924262697 40.67682226225477,Brooklyn,77,-73.96485924,40.67682226
Springfield Gardens,-73.76042092682295 40.666230490368626,Queens,113,-73.76042093,40.66623049
College Point,-73.84304528896132 40.78490274926025,Queens,109,-73.84304529,40.78490275
Fordham,-73.8964265598163 40.86099679638657,Bronx,52,-73.89642656,40.8609968
Williamsburg,-73.95811529220936 40.70714439344255,Brooklyn,90,-73.95811529,40.70714439
Rossville,-74.21572851113959 40.549404006500765,Staten Island,123,-74.21572851,40.54940401
Kensington,-73.98042110559481 40.64238195800357,Brooklyn,66,-73.98042111,40.64238196
Bellerose,-73.7201281482691 40.72857318176679,Queens,105,-73.72012815,40.72857318
Todt Hill,-74.11132881800887 40.59706851814676,Staten Island,122,-74.11132882,40.59706852
Far Rockaway,-73.7549796804388 40.60313443250093,Queens,101,-73.75497968,40.60313443
Mill Basin,-73.9151539155041 40.615974239623405,Brooklyn,63,-73.91515392,40.61597424
Arrochar,-74.06712363225581 40.596312571276776,Staten Island,122,-74.06712363,40.59631257
Gravesend,-73.97347087708452 40.59526001306597,Brooklyn,61,-73.97347088,40.59526001
Upper West Side,-73.9770592363061 40.7876579985349,Manhattan,20,-73.97705924,40.787658
Sheepshead Bay,-73.94318640482987 40.58689012678388,Brooklyn,61,-73.9431864,40.58689013
Financial District,-74.01066544521277 40.70710710727052,Manhattan,1,-74.01066545,40.70710711
East Harlem,-73.94418223148531 40.79224946663037,Manhattan,23,-73.94418223,40.79224947
Bay Terrace,-74.13916622175775 40.55398800858466,Staten Island,122,-74.13916622,40.55398801
Rosebank,-74.06980526716148 40.61530494652765,Staten Island,120,-74.06980527,40.61530495
Stapleton,-74.07790192660073 40.6269276253818,Staten Island,120,-74.07790193,40.62692763
Crown Heights,-73.9432911907359 40.67082917695298,Brooklyn,77,-73.94329119,40.67082918
Park Slope,-73.97705030183931 40.672320522682014,Brooklyn,78,-73.9770503,40.67232052
Flatbush,-73.95840106533912 40.63632589026681,Brooklyn,70,-73.95840107,40.63632589
Astoria,-73.91565374304241 40.768508593354966,Queens,114,-73.91565374,40.76850859
Lighthouse Hill,-74.13792663771576 40.576506293794935,Staten Island,122,-74.13792664,40.57650629
Pelham Gardens,-73.8416119483123 40.862965624780024,Bronx,49,-73.84161195,40.86296562
Roosevelt Island,-73.9494705736962 40.762403730702246,Manhattan,114,-73.94947057,40.76240373
Little Italy,-73.9973046720808 40.71932379395911,Manhattan,5,-73.99730467,40.71932379
North Riverdale,-73.90453054908934 40.9085428295067,Bronx,50,-73.90453055,40.90854283
Morris Park,-73.85040178030428 40.84754906353638,Bronx,49,-73.85040178,40.84754906
Unionport,-73.85053524451942 40.82977429787165,Bronx,49,-73.85053524,40.8297743
Parkchester,-73.8560031053579 40.83793782226733,Bronx,43,-73.85600311,40.83793782
New Brighton,-74.08701650516633 40.64061455913515,Staten Island,120,-74.08701651,40.64061456
SoHo,-74.00065666959766 40.72218384131798,Manhattan,1,-74.00065667,40.72218384
Woodlawn,-73.86731496814183 40.898272612138086,Bronx,47,-73.86731497,40.89827261
Charleston,-74.23215775896533 40.530531482833176,Staten Island,123,-74.23215776,40.53053148
Co-op City,-73.82993910812405 40.87429419303015,Bronx,45,-73.82993911,40.87429419
St. Albans,-73.75867603727725 40.69444538522363,Queens,113,-73.75867604,40.69444539
Upper East Side,-73.96050763135007 40.77563857330185,Manhattan,19,-73.96050763,40.77563857
Richmond Hill,-73.83183321446894 40.69794731471767,Queens,102,-73.83183321,40.69794731
Middle Village,-73.8811431920061 40.71641451115823,Queens,104,-73.88114319,40.71641451
Carroll Gardens,-74.00037274122076 40.68213188564184,Brooklyn,76,-74.00037274,40.68213189
Wakefield,-73.8472005205491 40.89470517661004,Bronx,47,-73.84720052,40.89470518
Riverdale,-73.91258546108577 40.89083449389134,Bronx,50,-73.91258546,40.89083449
East Elmhurst,-73.86704147658779 40.764073238830946,Queens,115,-73.86704148,40.76407324
Brownsville,-73.91023536176615 40.66394994339758,Brooklyn,73,-73.91023536,40.66394994
Clason Point,-73.85414416189273 40.806551120035934,Bronx,43,-73.85414416,40.80655112
Eltingville,-74.16433080419367 40.54223074745079,Staten Island,122,-74.1643308,40.54223075
Eastchester,-73.82780644716419 40.88755567735082,Bronx,49,-73.82780645,40.88755568
East New York,-73.88069863917373 40.66992570084708,Brooklyn,75,-73.88069864,40.6699257
NoHo,-73.98843368023604 40.72325901885772,Manhattan,9,-73.98843368,40.72325902
Melrose,-73.90942160757443 40.81975437059498,Bronx,40,-73.90942161,40.81975437
Boerum Hill,-73.98357724689187 40.687241380657376,Brooklyn,84,-73.98357725,40.68724138
West Village,-74.00617998126819 40.734433935724375,Manhattan,6,-74.00617998,40.73443394
Douglaston,-73.74249820727337 40.766846097907674,Queens,111,-73.74249821,40.7668461
Marine Park,-73.93134404108504 40.60974777989464,Brooklyn,63,-73.93134404,40.60974778
South Ozone Park,-73.80986478649048 40.66854957767199,Queens,106,-73.80986479,40.66854958
Sunset Park,-74.01031618527792 40.64510294925433,Brooklyn,72,-74.01031619,40.64510295
Belmont,-73.88845196134812 40.85727710073898,Bronx,48,-73.88845196,40.8572771
Midtown,-73.98166882730311 40.75469110270627,Manhattan,18,-73.98166883,40.7546911
Willowbrook,-74.13208447484305 40.60370692627375,Staten Island,121,-74.13208447,40.60370693
Oakwood,-74.12156593771904 40.558462243288844,Staten Island,122,-74.12156594,40.55846224
Kew Gardens Hills,-73.82087764933573 40.72257824422808,Queens,102,-73.82087765,40.72257824
Concord,-74.08402364740365 40.604473189687944,Staten Island,120,-74.08402365,40.60447319
Breezy Point,-73.92551196994177 40.557401288454564,Queens,114,-73.92551197,40.55740129
Dongan Hills,-74.09639905312528 40.58867294819932,Staten Island,122,-74.09639905,40.58867295
Hunts Point,-73.88331505955298 40.809729879387135,Bronx,41,-73.88331506,40.80972988
Prince's Bay,-74.20152556457666 40.526264067348166,Staten Island,123,-74.20152556,40.52626407
DUMBO,-73.98875280745047 40.70317632822696,Brooklyn,84,-73.98875281,40.70317633
East Village,-73.98222616506425 40.72784677727029,Manhattan,9,-73.98222617,40.72784678
Glendale,-73.87074167435614 40.702762429678415,Queens,104,-73.87074167,40.70276243
Arlington,-74.16510420241131 40.63532509911496,Staten Island,121,-74.1651042,40.6353251
Park Hill,-74.08015734936303 40.60919044434562,Staten Island,120,-74.08015735,40.60919044
Borough Park,-73.99049823044818 40.63313051275805,Brooklyn,66,-73.99049823,40.63313051
Bensonhurst,-73.99517998380736 40.61100890202048,Brooklyn,62,-73.99517998,40.6110089
Vinegar Hill,-73.981116035924 40.703321498828785,Brooklyn,84,-73.98111604,40.7033215
Morrisania,-73.90150648943066 40.82359198585537,Bronx,42,-73.90150649,40.82359199
Laurelton,-73.74025607989829 40.667883896602504,Queens,105,-73.74025608,40.6678839
Fresh Meadows,-73.78271337003271 40.734394465331334,Queens,107,-73.78271337,40.73439447
Red Hook,-74.01275897473568 40.67625323025092,Brooklyn,76,-74.01275897,40.67625323
Van Nest,-73.86629918075617 40.84360847124722,Bronx,49,-73.86629918,40.84360847
Flatlands,-73.92911302644681 40.6304460437575,Brooklyn,63,-73.92911303,40.63044604
Kew Gardens,-73.8298190582571 40.705179035414844,Queens,102,-73.82981906,40.70517904
Country Club,-73.82409926753857 40.84424593694742,Bronx,45,-73.82409927,40.84424594
Holliswood,-73.76714166714736 40.720957207644446,Queens,107,-73.76714167,40.72095721
Dyker Heights,-74.01931375636029 40.61921945772268,Brooklyn,68,-74.01931376,40.61921946
Williamsbridge,-73.85744642974214 40.88103887819214,Bronx,47,-73.85744643,40.88103888
Bath Beach,-73.99875221443526 40.599518702822415,Brooklyn,62,-73.99875221,40.5995187
Schuylerville,-73.82620275994081 40.82657951686926,Bronx,45,-73.82620276,40.82657952
Navy Yard,-73.97164435527614 40.698790872180545,Brooklyn,84,-73.97164436,40.69879087
Olinville,-73.86332361652784 40.87137078192375,Bronx,47,-73.86332362,40.87137078
Castleton Corners,-74.1191805853485 40.613335937667465,Staten Island,121,-74.11918059,40.61333594
West Farms,-73.87774474910552 40.83947505672657,Bronx,48,-73.87774475,40.83947506
Grant City,-74.10585598545441 40.57621558711792,Staten Island,122,-74.10585599,40.57621559
East Flatbush,-73.93610256185843 40.64171776668965,Brooklyn,67,-73.93610256,40.64171777
Spuyten Duyvil,-73.917190482104 40.8813949772709,Bronx,50,-73.91719048,40.88139498
Inwood,-73.92121042203905 40.86768396449919,Manhattan,34,-73.92121042,40.86768396
Jackson Heights,-73.88282109164372 40.751981380073715,Queens,115,-73.88282109,40.75198138
New Dorp,-74.11647943606387 40.57257231820636,Staten Island,122,-74.11647944,40.57257232
Woodside,-73.90184166838291 40.746349088602265,Queens,108,-73.90184167,40.74634909
St. George,-74.07935312512804 40.64498157100444,Staten Island,120,-74.07935313,40.64498157
Rosedale,-73.73526079428285 40.65981643342812,Queens,105,-73.73526079,40.65981643
Midwood,-73.95759523489846 40.62559589869847,Brooklyn,70,-73.95759523,40.6255959
Bushwick,-73.92525797487053 40.69811611017905,Brooklyn,83,-73.92525797,40.69811611
Mott Haven,-73.91609987487583 40.80623874935181,Bronx,40,-73.91609987,40.80623875
Concourse Village,-73.91584652759016 40.82478049084294,Bronx,42,-73.91584653,40.82478049
Bayside,-73.77427363068676 40.76604063281068,Queens,111,-73.77427363,40.76604063
South Beach,-74.07955292539827 40.5802474135096,Staten Island,122,-74.07955293,40.58024741
Woodhaven,-73.85811046554328 40.689886879157925,Queens,102,-73.85811047,40.68988688
Broad Channel,-73.82005489110327 40.603026583512424,Queens,100,-73.82005489,40.60302658
New Springville,-74.16496031329834 40.59425237916174,Staten Island,121,-74.16496031,40.59425238
Silver Lake,-74.09629029235465 40.619193107926804,Staten Island,120,-74.09629029,40.61919311
Norwood,-73.87939073956817 40.877224155994504,Bronx,52,-73.87939074,40.87722416
Chelsea,-74.18956045519697 40.59472602746298,Staten Island,121,-74.18956046,40.59472603
Civic Center,-74.00541529873362 40.715228920462856,Manhattan,5,-74.0054153,40.71522892
Hollis,-73.75925009335602 40.71124344191908,Queens,103,-73.75925009,40.71124344
Gerritsen Beach,-73.93010170691203 40.59084843390208,Brooklyn,61,-73.93010171,40.59084843
Clinton Hill,-73.96784306216374 40.69322942188155,Brooklyn,88,-73.96784306,40.69322942
Glen Oaks,-73.71548118999152 40.74944079974336,Queens,105,-73.71548119,40.7494408
Coney Island,-73.98868295821644 40.57429256471605,Brooklyn,60,-73.98868296,40.57429256
Tribeca,-74.01068328559094 40.72152196744325,Manhattan,1,-74.01068329,40.72152197
Brighton Beach,-73.96509448785343 40.576825065666085,Brooklyn,60,-73.96509449,40.57682507
Belle Harbor,-73.85401750392529 40.57615556543113,Queens,100,-73.8540175,40.57615557
Fort Hamilton,-74.0319791453799 40.6147681269423,Brooklyn,68,-74.03197915,40.61476813
Soundview,-73.86574609554933 40.82101219791406,Bronx,43,-73.8657461,40.8210122
Fort Greene,-73.97290574369099 40.688527260189815,Brooklyn,88,-73.97290574,40.68852726
Mount Eden,-73.91655551964426 40.843826176716576,Bronx,44,-73.91655552,40.84382618
Maspeth,-73.89621713626867 40.72542737409365,Queens,104,-73.89621714,40.72542737
Manhattan Beach,-73.94353722891894 40.57791350308661,Brooklyn,61,-73.94353723,40.5779135
Sunnyside,-74.09712552178537 40.612760157564935,Staten Island,120,-74.09712552,40.61276016
Arden Heights,-74.185886745839 40.549285822783254,Staten Island,123,-74.18588675,40.54928582
Windsor Terrace,-73.98007340430179 40.65694583575108,Brooklyn,72,-73.9800734,40.65694584
Jamaica Hills,-73.796464620816 40.71145964370486,Queens,103,-73.79646462,40.71145964
Port Ivory,-74.17464532993549 40.63968297845546,Staten Island,121,-74.17464533,40.63968298
Little Neck,-73.73889775580747 40.77082619282674,Queens,111,-73.73889776,40.77082619
City Island,-73.7864884526742 40.84724670491817,Bronx,45,-73.78648845,40.8472467
Westchester Square,-73.8421940760445 40.840619496432744,Bronx,43,-73.84219408,40.8406195
Pleasant Plains,-74.21983106616784 40.52469937611818,Staten Island,123,-74.21983107,40.52469938
Edgemere,-73.77613282391712 40.59564180736854,Queens,101,-73.77613282,40.59564181
Battery Park City,-74.01686930508625 40.71193198394569,Manhattan,1,-74.01686931,40.71193198
Kingsbridge,-73.90281798724611 40.88168737120525,Bronx,50,-73.90281799,40.88168737
Long Island City,-73.93920223915512 40.75021734610532,Queens,108,-73.93920224,40.75021735
Port Morris,-73.91322139386142 40.80166362775625,Bronx,40,-73.91322139,40.80166363
Bay Ridge,-74.03062069353821 40.62580106501069,Brooklyn,68,-74.03062069,40.62580107
Cambria Heights,-73.73526873708033 40.69277463916089,Queens,105,-73.73526874,40.69277464
Elmhurst,-73.88165622288396 40.744048505122066,Queens,110,-73.88165622,40.74404851
Greenwich Village,-73.99991402945909 40.72693288536132,Manhattan,6,-73.99991403,40.72693289
Marble Hill,-73.91065965862988 40.87655077879968,Manhattan,50,-73.91065966,40.87655078
Great Kills,-74.14932381490999 40.54948022871365,Staten Island,122,-74.14932381,40.54948023
Jamaica Estates,-73.78722696936667 40.716804830146174,Queens,107,-73.78722697,40.71680483
Cobble Hill,-73.9985613921847 40.68791972248561,Brooklyn,76,-73.99856139,40.68791972
Rego Park,-73.85782686905377 40.72897409480739,Queens,112,-73.85782687,40.72897409
Brooklyn Heights,-73.99378225496432 40.69586372272413,Brooklyn,84,-73.99378225,40.69586372
Morris Heights,-73.91967159119572 40.84789792606274,Bronx,46,-73.91967159,40.84789793
Castle Hill,-73.84802729582742 40.81901437698835,Bronx,43,-73.8480273,40.81901438
Tompkinsville,-74.08055351790122 40.63731606711036,Staten Island,120,-74.08055352,40.63731607
Forest Hills,-73.8444750078899 40.725263782165065,Queens,112,-73.84447501,40.72526378
Claremont Village,-73.90119903387674 40.83142834161551,Bronx,42,-73.90119903,40.83142834
Westerleigh,-74.13304143951713 40.62109047275413,Staten Island,121,-74.13304144,40.62109047
Floral Park,-73.70884705889253 40.74137842194548,Queens,105,-73.70884706,40.74137842
Howard Beach,-73.83813764600289 40.6542252773849,Queens,106,-73.83813765,40.65422528
Woodrow,-74.22135055371616 40.53745265012707,Staten Island,123,-74.22135055,40.53745265
Gowanus,-73.99444087145346 40.6739311431872,Brooklyn,76,-73.99444087,40.67393114
Baychester,-73.83579759808124 40.86685810725274,Bronx,47,-73.8357976,40.86685811
Mount Hope,-73.90829930881995 40.84884160724669,Bronx,46,-73.90829931,40.84884161
Rockaway Park,-73.84153370226193 40.58034295646135,Queens,100,-73.8415337,40.58034296
Fieldston,-73.90564259591689 40.895437426903875,Bronx,50,-73.9056426,40.89543743
Shore Acres,-74.06667766061778 40.609719340792886,Staten Island,120,-74.06667766,40.60971934
Bergen Beach,-73.89855633630324 40.615149550453125,Brooklyn,69,-73.89855634,40.61514955
Chinatown,-73.99427936255985 40.715618422314364,Manhattan,5,-73.99427936,40.71561842
Grymes Hill,-74.08724819983736 40.62418479131304,Staten Island,120,-74.0872482,40.62418479
Graniteville,-74.1531524638777 40.62017151223193,Staten Island,121,-74.15315246,40.62017151
Morningside Heights,-73.96389627905339 40.80799973816586,Manhattan,26,-73.96389628,40.80799974
Briarwood,-73.81174822458641 40.710935472522756,Queens,107,-73.81174822,40.71093547
Neponsit,-73.85754672410836 40.57203673021705,Queens,100,-73.85754672,40.57203673
Longwood,-73.89578820094466 40.815099045458254,Bronx,41,-73.8957882,40.81509905
Sea Gate,-74.00787311200247 40.576375378902284,Brooklyn,60,-74.00787311,40.57637538
Pelham Bay,-73.83207378240478 40.85064140940339,Bronx,45,-73.83207378,40.85064141
University Heights,-73.91041596191317 40.85572707719668,Bronx,52,-73.91041596,40.85572708
Emerson Hill,-74.09776206972529 40.606794394801035,Staten Island,122,-74.09776207,40.60679439
Queens Village,-73.73871484578433 40.7188930921674,Queens,105,-73.73871485,40.71889309
Canarsie,-73.90209269778973 40.63556432797432,Brooklyn,69,-73.9020927,40.63556433
Bloomfield,-74.18725638381574 40.60577868452362,Staten Island,121,-74.18725638,40.60577868
Edenwald,-73.84808271877175 40.88456130303736,Bronx,47,-73.84808272,40.8845613
Ridgewood,-73.90143517559596 40.70832315613862,Queens,104,-73.90143518,40.70832316
Gramercy,-73.98137594833548 40.737209832715045,Manhattan,13,-73.98137595,40.73720983
Tottenville,-74.24656934235291 40.505333761156464,Staten Island,123,-74.24656934,40.50533376
Fort Wadsworth,,Staten Island,120,,
Crotona Park,,Bronx,48,,
Allerton,,Bronx,49,,
South Slope,,Brooklyn,72,,
Ditmars Steinway,,Queens,114,,
Liberty Island,,Manhattan,1,,
Prospect Park,,Brooklyn,70,,
Downtown Brooklyn,,Brooklyn,84,,
Green-Wood Cemetery,,Brooklyn,72,,
Tremont,,Bronx,48,,
Hell's Kitchen,,Manhattan,18,,
"Chelsea, Staten Island",,Staten Island,121,,
Van Cortlandt Park,,Bronx,50,,
Central Park,,Manhattan,22,,
Harlem,,Manhattan,28,,
Bull's Head,,Staten Island,121,,
"Bay Terrace, Staten Island",,Staten Island,122,,
John F. Kennedy International Airport,,Queens,105,,
Rikers Island,,Bronx,114,,
Bedford-Stuyvesant,,Brooklyn,79,,
Ferry Point Park,,Bronx,45,,
Kips Bay,,Manhattan,13,,
Rockaway Beach,,Queens,100,,
Jamaica Bay,,Queens,100,,
Hart Island,,Bronx,45,,
Governors Island,,Manhattan,1,,
Richmondtown,,Staten Island,121,,
Pelham Bay Park,,Bronx,45,,
Pelham Islands,,Bronx,45,,
Freshkills Park,,Staten Island,121,,
Latourette Park,,Staten Island,122,,
Prospect-Lefferts Gardens,,Brooklyn,71,,
Randall's Island,,Manhattan,23,,
Hoffman Island,,Staten Island,122,,
Plum Beach,,Brooklyn,61,,
Mariners Harbor,,Staten Island,121,,
Flushing Meadows Corona Park,,Queens,110,,
South Brother Island,,Bronx,114,,
Two Bridges,,Manhattan,7,,
Flushing,,Queens,109,,
Great Kills Park,,Staten Island,122,,
Floyd Bennett Field,,Brooklyn,63,,
Nolita,,Manhattan,5,,
Flatiron District,,Manhattan,13,,
Bayswater,,Queens,101,,
Bronxdale,,Bronx,49,,
East Morrisania,,Bronx,42,,
LaGuardia Airport,,Queens,115,,
Forest Park,,Queens,104,,
Bronx Park,,Bronx,52,,
Highbridge,,Bronx,44,,
Hollis Hills,,Queens,111,,
Theater District,,Manhattan,18,,
Columbia St,,Brooklyn,76,,
Cunningham Park,,Queens,107,,
Corona,,Queens,110,,
Jamaica,,Queens,103,,
Ellis Island,,Manhattan,1,,
Alley Pond Park,,Queens,111,,
