PCT,Name,Borough,2015,2016,2017,Avg,Diff,Variance,Variance_prediction
22,Central Park,Manhattan,399.20000000000005,284.20000000000005,242.8,341.70000000000005,-98.90000000000003,-0.40733113673805615,-0.4046446164672765
103,Hollis,Queens,8972.800000000001,7870.0,6768.7,8421.400000000001,-1652.7000000000016,-0.2441680086279495,-0.1401270648030497
103,Jamaica,Queens,8972.800000000001,7870.0,6768.7,8421.400000000001,-1652.7000000000016,-0.2441680086279495,-0.1401270648030497
103,Jamaica Hills,Queens,8972.800000000001,7870.0,6768.7,8421.400000000001,-1652.7000000000016,-0.2441680086279495,-0.1401270648030497
41,Hunts Point,Bronx,6083.9,6132.799999999999,5270.099999999999,6108.349999999999,-838.25,-0.15905770288988824,0.007973519436472678
41,Longwood,Bronx,6083.9,6132.799999999999,5270.099999999999,6108.349999999999,-838.25,-0.15905770288988824,0.007973519436472678
40,Melrose,Bronx,13403.500000000002,12918.3,11541.9,13160.900000000001,-1619.0000000000018,-0.14027153241667334,-0.03755912155624212
40,Mott Haven,Bronx,13403.500000000002,12918.3,11541.9,13160.900000000001,-1619.0000000000018,-0.14027153241667334,-0.03755912155624212
40,Port Morris,Bronx,13403.500000000002,12918.3,11541.9,13160.900000000001,-1619.0000000000018,-0.14027153241667334,-0.03755912155624212
73,Brownsville,Brooklyn,9577.800000000001,9111.800000000001,8354.5,9344.800000000001,-990.3000000000011,-0.11853492129989839,-0.0511424745933844
113,Springfield Gardens,Queens,7475.6,7354.0,6642.7,7414.8,-772.1000000000004,-0.11623285712135131,-0.01653521892847435
113,St. Albans,Queens,7475.6,7354.0,6642.7,7414.8,-772.1000000000004,-0.11623285712135131,-0.01653521892847435
60,Brighton Beach,Brooklyn,6472.1,5747.2,5490.1,6109.65,-619.5499999999993,-0.11284858199304187,-0.1261309855233854
60,Coney Island,Brooklyn,6472.1,5747.2,5490.1,6109.65,-619.5499999999993,-0.11284858199304187,-0.1261309855233854
60,Sea Gate,Brooklyn,6472.1,5747.2,5490.1,6109.65,-619.5499999999993,-0.11284858199304187,-0.1261309855233854
110,Corona,Queens,6512.8,6157.3,5705.7,6335.05,-629.3500000000004,-0.11030197872303142,-0.057736345476101535
110,Elmhurst,Queens,6512.8,6157.3,5705.7,6335.05,-629.3500000000004,-0.11030197872303142,-0.057736345476101535
110,Flushing Meadows Corona Park,Queens,6512.8,6157.3,5705.7,6335.05,-629.3500000000004,-0.11030197872303142,-0.057736345476101535
102,Kew Gardens,Queens,5352.7,5255.5,4805.7,5304.1,-498.40000000000055,-0.10371017749755511,-0.01849491009418701
102,Kew Gardens Hills,Queens,5352.7,5255.5,4805.7,5304.1,-498.40000000000055,-0.10371017749755511,-0.01849491009418701
102,Richmond Hill,Queens,5352.7,5255.5,4805.7,5304.1,-498.40000000000055,-0.10371017749755511,-0.01849491009418701
102,Woodhaven,Queens,5352.7,5255.5,4805.7,5304.1,-498.40000000000055,-0.10371017749755511,-0.01849491009418701
9,East Village,Manhattan,5456.6,5457.900000000001,4951.8,5457.25,-505.4499999999998,-0.1020739932953673,2.381868484215874E-4
9,NoHo,Manhattan,5456.6,5457.900000000001,4951.8,5457.25,-505.4499999999998,-0.1020739932953673,2.381868484215874E-4
111,Alley Pond Park,Queens,2505.7999999999997,2610.0,2327.0,2557.8999999999996,-230.89999999999964,-0.09922647185217003,0.039923371647509684
111,Bayside,Queens,2505.7999999999997,2610.0,2327.0,2557.8999999999996,-230.89999999999964,-0.09922647185217003,0.039923371647509684
111,Douglaston,Queens,2505.7999999999997,2610.0,2327.0,2557.8999999999996,-230.89999999999964,-0.09922647185217003,0.039923371647509684
111,Hollis Hills,Queens,2505.7999999999997,2610.0,2327.0,2557.8999999999996,-230.89999999999964,-0.09922647185217003,0.039923371647509684
111,Little Neck,Queens,2505.7999999999997,2610.0,2327.0,2557.8999999999996,-230.89999999999964,-0.09922647185217003,0.039923371647509684
46,Morris Heights,Bronx,9112.7,8908.3,8213.300000000001,9010.5,-797.1999999999989,-0.09706208223247645,-0.022944894087536506
46,Mount Hope,Bronx,9112.7,8908.3,8213.300000000001,9010.5,-797.1999999999989,-0.09706208223247645,-0.022944894087536506
66,Borough Park,Brooklyn,3994.7,3848.2,3583.5,3921.45,-337.9499999999998,-0.09430724152365001,-0.03806974689465205
66,Kensington,Brooklyn,3994.7,3848.2,3583.5,3921.45,-337.9499999999998,-0.09430724152365001,-0.03806974689465205
121,Arlington,Staten Island,6056.0,5778.1,5415.1,5917.05,-501.9499999999998,-0.09269450240992776,-0.048095394679912015
121,Bloomfield,Staten Island,6056.0,5778.1,5415.1,5917.05,-501.9499999999998,-0.09269450240992776,-0.048095394679912015
121,Bull's Head,Staten Island,6056.0,5778.1,5415.1,5917.05,-501.9499999999998,-0.09269450240992776,-0.048095394679912015
121,Castleton Corners,Staten Island,6056.0,5778.1,5415.1,5917.05,-501.9499999999998,-0.09269450240992776,-0.048095394679912015
121,Chelsea,Staten Island,6056.0,5778.1,5415.1,5917.05,-501.9499999999998,-0.09269450240992776,-0.048095394679912015
121,"Chelsea, Staten Island",Staten Island,6056.0,5778.1,5415.1,5917.05,-501.9499999999998,-0.09269450240992776,-0.048095394679912015
121,Freshkills Park,Staten Island,6056.0,5778.1,5415.1,5917.05,-501.9499999999998,-0.09269450240992776,-0.048095394679912015
121,Graniteville,Staten Island,6056.0,5778.1,5415.1,5917.05,-501.9499999999998,-0.09269450240992776,-0.048095394679912015
121,Howland Hook,Staten Island,6056.0,5778.1,5415.1,5917.05,-501.9499999999998,-0.09269450240992776,-0.048095394679912015
121,Mariners Harbor,Staten Island,6056.0,5778.1,5415.1,5917.05,-501.9499999999998,-0.09269450240992776,-0.048095394679912015
121,New Springville,Staten Island,6056.0,5778.1,5415.1,5917.05,-501.9499999999998,-0.09269450240992776,-0.048095394679912015
121,Port Ivory,Staten Island,6056.0,5778.1,5415.1,5917.05,-501.9499999999998,-0.09269450240992776,-0.048095394679912015
121,Port Richmond,Staten Island,6056.0,5778.1,5415.1,5917.05,-501.9499999999998,-0.09269450240992776,-0.048095394679912015
121,Richmondtown,Staten Island,6056.0,5778.1,5415.1,5917.05,-501.9499999999998,-0.09269450240992776,-0.048095394679912015
121,Westerleigh,Staten Island,6056.0,5778.1,5415.1,5917.05,-501.9499999999998,-0.09269450240992776,-0.048095394679912015
121,Willowbrook,Staten Island,6056.0,5778.1,5415.1,5917.05,-501.9499999999998,-0.09269450240992776,-0.048095394679912015
88,Clinton Hill,Brooklyn,3630.4,3637.1,3330.1,3633.75,-303.6500000000001,-0.0911834479445062,0.001842126969288669
88,Fort Greene,Brooklyn,3630.4,3637.1,3330.1,3633.75,-303.6500000000001,-0.0911834479445062,0.001842126969288669
71,Prospect-Lefferts Gardens,Brooklyn,6363.0,6230.400000000001,5785.200000000001,6296.700000000001,-511.5,-0.08841526654221114,-0.021282742681047677
75,Cypress Hills,Brooklyn,15612.7,14357.1,13800.9,14984.900000000001,-1184.0000000000018,-0.08579150635103522,-0.08745498742782319
75,East New York,Brooklyn,15612.7,14357.1,13800.9,14984.900000000001,-1184.0000000000018,-0.08579150635103522,-0.08745498742782319
63,Flatlands,Brooklyn,4301.4,4238.5,3933.1000000000004,4269.95,-336.84999999999945,-0.08564491113879623,-0.014840155715465292
63,Floyd Bennett Field,Brooklyn,4301.4,4238.5,3933.1000000000004,4269.95,-336.84999999999945,-0.08564491113879623,-0.014840155715465292
63,Marine Park,Brooklyn,4301.4,4238.5,3933.1000000000004,4269.95,-336.84999999999945,-0.08564491113879623,-0.014840155715465292
63,Mill Basin,Brooklyn,4301.4,4238.5,3933.1000000000004,4269.95,-336.84999999999945,-0.08564491113879623,-0.014840155715465292
123,Arden Heights,Staten Island,2456.6000000000004,2330.1000000000004,2208.7,2393.3500000000004,-184.65000000000055,-0.08360121338343847,-0.05428951547143899
123,Charleston,Staten Island,2456.6000000000004,2330.1000000000004,2208.7,2393.3500000000004,-184.65000000000055,-0.08360121338343847,-0.05428951547143899
123,Huguenot,Staten Island,2456.6000000000004,2330.1000000000004,2208.7,2393.3500000000004,-184.65000000000055,-0.08360121338343847,-0.05428951547143899
123,Pleasant Plains,Staten Island,2456.6000000000004,2330.1000000000004,2208.7,2393.3500000000004,-184.65000000000055,-0.08360121338343847,-0.05428951547143899
123,Prince's Bay,Staten Island,2456.6000000000004,2330.1000000000004,2208.7,2393.3500000000004,-184.65000000000055,-0.08360121338343847,-0.05428951547143899
123,Rossville,Staten Island,2456.6000000000004,2330.1000000000004,2208.7,2393.3500000000004,-184.65000000000055,-0.08360121338343847,-0.05428951547143899
123,Tottenville,Staten Island,2456.6000000000004,2330.1000000000004,2208.7,2393.3500000000004,-184.65000000000055,-0.08360121338343847,-0.05428951547143899
123,Woodrow,Staten Island,2456.6000000000004,2330.1000000000004,2208.7,2393.3500000000004,-184.65000000000055,-0.08360121338343847,-0.05428951547143899
43,Castle Hill,Bronx,10755.1,10500.5,9825.2,10627.8,-802.5999999999985,-0.08168790457191696,-0.02424646445407365
43,Clason Point,Bronx,10755.1,10500.5,9825.2,10627.8,-802.5999999999985,-0.08168790457191696,-0.02424646445407365
43,Parkchester,Bronx,10755.1,10500.5,9825.2,10627.8,-802.5999999999985,-0.08168790457191696,-0.02424646445407365
43,Soundview,Bronx,10755.1,10500.5,9825.2,10627.8,-802.5999999999985,-0.08168790457191696,-0.02424646445407365
43,Westchester Square,Bronx,10755.1,10500.5,9825.2,10627.8,-802.5999999999985,-0.08168790457191696,-0.02424646445407365
48,Belmont,Bronx,7826.000000000001,7508.6,7170.5,7667.300000000001,-496.8000000000011,-0.06928387141761398,-0.042271528647151335
48,Crotona Park,Bronx,7826.000000000001,7508.6,7170.5,7667.300000000001,-496.8000000000011,-0.06928387141761398,-0.042271528647151335
48,Tremont,Bronx,7826.000000000001,7508.6,7170.5,7667.300000000001,-496.8000000000011,-0.06928387141761398,-0.042271528647151335
48,West Farms,Bronx,7826.000000000001,7508.6,7170.5,7667.300000000001,-496.8000000000011,-0.06928387141761398,-0.042271528647151335
44,Concourse,Bronx,11888.8,11419.6,10920.8,11654.2,-733.4000000000015,-0.06715625228920973,-0.041087253493992684
44,Highbridge,Bronx,11888.8,11419.6,10920.8,11654.2,-733.4000000000015,-0.06715625228920973,-0.041087253493992684
44,Mount Eden,Bronx,11888.8,11419.6,10920.8,11654.2,-733.4000000000015,-0.06715625228920973,-0.041087253493992684
13,Flatiron District,Manhattan,7437.099999999999,6862.0,6700.4,7149.549999999999,-449.14999999999964,-0.06703331144409284,-0.08380938501894483
13,Gramercy,Manhattan,7437.099999999999,6862.0,6700.4,7149.549999999999,-449.14999999999964,-0.06703331144409284,-0.08380938501894483
13,Kips Bay,Manhattan,7437.099999999999,6862.0,6700.4,7149.549999999999,-449.14999999999964,-0.06703331144409284,-0.08380938501894483
13,Stuyvesant Town,Manhattan,7437.099999999999,6862.0,6700.4,7149.549999999999,-449.14999999999964,-0.06703331144409284,-0.08380938501894483
101,Bayswater,Queens,4205.7,4246.4,3966.3,4226.049999999999,-259.7499999999991,-0.06548924690517588,0.00958458929917102
101,Edgemere,Queens,4205.7,4246.4,3966.3,4226.049999999999,-259.7499999999991,-0.06548924690517588,0.00958458929917102
101,Far Rockaway,Queens,4205.7,4246.4,3966.3,4226.049999999999,-259.7499999999991,-0.06548924690517588,0.00958458929917102
23,East Harlem,Manhattan,6171.900000000001,6226.8,5819.9,6199.35,-379.4500000000007,-0.06519871475454918,0.00881672769319709
23,Randall's Island,Manhattan,6171.900000000001,6226.8,5819.9,6199.35,-379.4500000000007,-0.06519871475454918,0.00881672769319709
77,Crown Heights,Brooklyn,6208.900000000001,6012.8,5748.6,6110.85,-362.25,-0.06301534286608913,-0.03261375731772225
77,Prospect Heights,Brooklyn,6208.900000000001,6012.8,5748.6,6110.85,-362.25,-0.06301534286608913,-0.03261375731772225
62,Bath Beach,Brooklyn,5247.700000000001,4855.0,4759.6,5051.35,-291.75,-0.061297167829229345,-0.08088568486096823
62,Bensonhurst,Brooklyn,5247.700000000001,4855.0,4759.6,5051.35,-291.75,-0.061297167829229345,-0.08088568486096823
106,Howard Beach,Queens,5558.0,5494.3,5244.0,5526.15,-282.14999999999964,-0.05380434782608689,-0.011593833609376956
106,Ozone Park,Queens,5558.0,5494.3,5244.0,5526.15,-282.14999999999964,-0.05380434782608689,-0.011593833609376956
106,South Ozone Park,Queens,5558.0,5494.3,5244.0,5526.15,-282.14999999999964,-0.05380434782608689,-0.011593833609376956
105,Bellerose,Queens,6777.599999999999,6446.200000000001,6279.099999999999,6611.9,-332.8000000000002,-0.053001226290391966,-0.0514101331016721
105,Cambria Heights,Queens,6777.599999999999,6446.200000000001,6279.099999999999,6611.9,-332.8000000000002,-0.053001226290391966,-0.0514101331016721
105,Floral Park,Queens,6777.599999999999,6446.200000000001,6279.099999999999,6611.9,-332.8000000000002,-0.053001226290391966,-0.0514101331016721
105,Glen Oaks,Queens,6777.599999999999,6446.200000000001,6279.099999999999,6611.9,-332.8000000000002,-0.053001226290391966,-0.0514101331016721
105,John F. Kennedy International Airport,Queens,6777.599999999999,6446.200000000001,6279.099999999999,6611.9,-332.8000000000002,-0.053001226290391966,-0.0514101331016721
105,Laurelton,Queens,6777.599999999999,6446.200000000001,6279.099999999999,6611.9,-332.8000000000002,-0.053001226290391966,-0.0514101331016721
105,Queens Village,Queens,6777.599999999999,6446.200000000001,6279.099999999999,6611.9,-332.8000000000002,-0.053001226290391966,-0.0514101331016721
105,Rosedale,Queens,6777.599999999999,6446.200000000001,6279.099999999999,6611.9,-332.8000000000002,-0.053001226290391966,-0.0514101331016721
69,Bergen Beach,Brooklyn,4354.8,4324.7,4124.2,4339.75,-215.55000000000018,-0.052264681635226275,-0.006960020348232332
69,Canarsie,Brooklyn,4354.8,4324.7,4124.2,4339.75,-215.55000000000018,-0.052264681635226275,-0.006960020348232332
70,Flatbush,Brooklyn,6904.700000000001,6572.500000000001,6422.6,6738.6,-316.0,-0.04920125805748451,-0.050543933054393274
70,Midwood,Brooklyn,6904.700000000001,6572.500000000001,6422.6,6738.6,-316.0,-0.04920125805748451,-0.050543933054393274
70,Prospect Park,Brooklyn,6904.700000000001,6572.500000000001,6422.6,6738.6,-316.0,-0.04920125805748451,-0.050543933054393274
122,Arrochar,Staten Island,4320.5,4358.299999999999,4139.3,4339.4,-200.09999999999945,-0.04834150701809471,0.008673106486473918
122,Bay Terrace,Staten Island,4320.5,4358.299999999999,4139.3,4339.4,-200.09999999999945,-0.04834150701809471,0.008673106486473918
122,"Bay Terrace, Staten Island",Staten Island,4320.5,4358.299999999999,4139.3,4339.4,-200.09999999999945,-0.04834150701809471,0.008673106486473918
122,Dongan Hills,Staten Island,4320.5,4358.299999999999,4139.3,4339.4,-200.09999999999945,-0.04834150701809471,0.008673106486473918
122,Eltingville,Staten Island,4320.5,4358.299999999999,4139.3,4339.4,-200.09999999999945,-0.04834150701809471,0.008673106486473918
122,Emerson Hill,Staten Island,4320.5,4358.299999999999,4139.3,4339.4,-200.09999999999945,-0.04834150701809471,0.008673106486473918
122,Grant City,Staten Island,4320.5,4358.299999999999,4139.3,4339.4,-200.09999999999945,-0.04834150701809471,0.008673106486473918
122,Great Kills,Staten Island,4320.5,4358.299999999999,4139.3,4339.4,-200.09999999999945,-0.04834150701809471,0.008673106486473918
122,Great Kills Park,Staten Island,4320.5,4358.299999999999,4139.3,4339.4,-200.09999999999945,-0.04834150701809471,0.008673106486473918
122,Hoffman Island,Staten Island,4320.5,4358.299999999999,4139.3,4339.4,-200.09999999999945,-0.04834150701809471,0.008673106486473918
122,Latourette Park,Staten Island,4320.5,4358.299999999999,4139.3,4339.4,-200.09999999999945,-0.04834150701809471,0.008673106486473918
122,Lighthouse Hill,Staten Island,4320.5,4358.299999999999,4139.3,4339.4,-200.09999999999945,-0.04834150701809471,0.008673106486473918
