Seven Major Felony Offenses,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
PCT,CRIME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
1,MURDER & NON NEGL. MANSLAUGHTER                                ,3,1,2,2,2,0,1,0,1,2,2,0,1,0,0,1,0,9
,RAPE                                  ,12,5,10,11,11,5,4,7,12,4,6,13,10,12,8,7,9,18
,ROBBERY                               ,252,188,210,164,154,172,119,128,108,106,96,102,81,68,50,79,60,69
,FELONY ASSAULT                        ,139,164,147,134,129,121,94,90,83,83,68,94,110,87,76,86,78,91
,BURGLARY                              ,475,437,297,403,246,293,255,231,189,207,170,155,188,171,145,138,117,65
,GRAND LARCENY                         ,2358,2117,1896,1803,1708,1624,1462,1395,1258,1122,1065,979,985,1051,896,1114,1081,1068
,GRAND LARCENY OF MOTOR VEHICLE                                  ,199,157,153,132,133,90,78,63,57,54,38,59,41,27,33,21,50,17
,TOTAL SEVEN MAJOR FELONY OFFENSES,3438,3069,2715,2649,2383,2305,2013,1914,1708,1578,1445,1402,1416,1416,1208,1446,1395,1337
5,MURDER & NON NEGL. MANSLAUGHTER                                ,4,3,0,3,1,4,2,2,2,1,1,0,3,3,2,1,0,0
,RAPE                                  ,9,3,12,7,7,13,5,4,2,6,10,11,12,5,4,10,8,7
,ROBBERY                               ,351,261,196,148,136,134,132,151,131,125,106,127,122,102,76,100,102,89
,FELONY ASSAULT                        ,190,147,108,100,95,80,104,129,151,153,128,117,157,167,125,140,135,151
,BURGLARY                              ,285,247,212,215,173,158,152,122,150,141,127,120,138,92,101,86,81,86
,GRAND LARCENY                         ,824,697,687,681,688,674,605,582,573,528,582,560,548,599,536,559,563,545
,GRAND LARCENY OF MOTOR VEHICLE                                  ,117,100,94,77,70,68,40,41,20,21,15,27,21,12,26,21,10,11
,TOTAL SEVEN MAJOR FELONY OFFENSES,1780,1458,1309,1231,1170,1131,1040,1031,1029,975,969,962,1001,980,870,917,899,889
6,MURDER & NON NEGL. MANSLAUGHTER                                ,0,1,0,1,3,1,3,5,0,1,1,1,1,2,2,0,0,0
,RAPE                                  ,7,5,7,11,7,12,6,7,5,9,13,15,15,8,11,8,15,9
,ROBBERY                               ,378,293,313,249,257,228,214,207,187,147,148,155,148,140,99,114,120,139
,FELONY ASSAULT                        ,169,132,92,121,96,102,123,127,93,106,94,111,111,135,128,93,111,131
,BURGLARY                              ,277,294,299,277,339,305,280,203,282,232,176,182,140,132,163,148,106,131
,GRAND LARCENY                         ,1393,1245,1164,1233,1344,1326,1283,1214,1131,1100,1053,992,1124,1253,1127,1126,1003,998
,GRAND LARCENY OF MOTOR VEHICLE                                  ,163,171,184,176,128,81,70,74,40,38,45,48,35,33,45,32,33,24
,TOTAL SEVEN MAJOR FELONY OFFENSES,2387,2141,2059,2068,2174,2055,1979,1837,1738,1633,1530,1504,1574,1703,1575,1521,1388,1432
7,MURDER & NON NEGL. MANSLAUGHTER                                ,0,3,5,6,3,7,4,2,3,2,1,5,0,1,0,1,1,0
,RAPE                                  ,14,12,8,11,8,10,7,7,11,11,11,14,19,6,7,9,17,9
,ROBBERY                               ,279,214,190,191,212,200,176,222,182,158,130,127,147,145,115,107,129,134
,FELONY ASSAULT                        ,139,127,130,131,122,95,105,123,91,134,126,119,122,106,153,144,148,178
,BURGLARY                              ,149,181,170,157,118,101,127,118,104,75,101,83,92,67,56,85,55,65
,GRAND LARCENY                         ,258,233,243,245,269,309,362,328,340,275,284,316,350,362,372,409,440,461
,GRAND LARCENY OF MOTOR VEHICLE                                  ,151,122,162,123,125,82,83,56,76,47,49,40,32,24,29,26,33,18
,TOTAL SEVEN MAJOR FELONY OFFENSES,990,892,908,864,857,804,864,856,807,702,702,704,762,711,732,781,823,865
9,MURDER & NON NEGL. MANSLAUGHTER                                ,3,2,1,3,4,2,1,0,3,4,4,1,1,2,2,1,5,3
,RAPE                                  ,12,11,18,15,22,20,14,15,9,16,14,13,15,18,22,19,10,16
,ROBBERY                               ,332,251,263,264,210,264,252,207,224,197,189,186,177,137,110,134,152,120
,FELONY ASSAULT                        ,249,203,203,173,156,173,165,179,152,157,151,141,172,152,152,126,180,148
,BURGLARY                              ,347,317,340,354,382,286,297,210,225,284,220,209,193,165,138,135,112,131
,GRAND LARCENY                         ,1012,742,811,839,835,797,775,819,797,807,759,750,802,904,876,878,961,841
,GRAND LARCENY OF MOTOR VEHICLE                                  ,160,146,173,153,138,122,75,89,85,58,50,50,59,46,31,44,43,41
,TOTAL SEVEN MAJOR FELONY OFFENSES,2115,1672,1809,1801,1747,1664,1579,1519,1495,1523,1387,1350,1419,1424,1331,1337,1463,1300
10,MURDER & NON NEGL. MANSLAUGHTER                                ,2,3,2,2,5,4,4,0,4,1,2,3,3,1,0,1,0,0
,RAPE                                  ,10,7,2,20,18,16,10,8,9,6,10,13,10,12,7,11,9,18
,ROBBERY                               ,191,136,156,207,175,180,174,149,159,131,114,137,114,110,89,105,94,90
,FELONY ASSAULT                        ,140,97,89,137,152,119,151,161,170,121,131,93,81,98,110,106,95,105
,BURGLARY                              ,184,106,144,225,195,178,179,110,131,98,99,118,89,101,72,71,77,80
,GRAND LARCENY                         ,680,401,306,698,799,827,860,833,789,728,651,627,764,762,709,736,726,653
,GRAND LARCENY OF MOTOR VEHICLE                                  ,191,127,132,147,122,94,91,65,59,48,42,46,27,39,35,31,31,35
,TOTAL SEVEN MAJOR FELONY OFFENSES,1398,877,831,1436,1466,1418,1469,1326,1321,1133,1049,1037,1088,1123,1022,1061,1032,981
13,MURDER & NON NEGL. MANSLAUGHTER                                ,2,2,2,4,3,3,2,3,1,1,3,2,1,1,0,2,2,3
,RAPE                                  ,8,13,26,20,21,11,9,6,11,9,13,17,17,11,12,19,23,18
,ROBBERY                               ,341,312,332,308,301,299,311,247,234,199,192,187,183,124,144,147,116,96
,FELONY ASSAULT                        ,233,177,199,150,192,173,149,206,188,163,140,126,129,135,174,198,163,149
,BURGLARY                              ,587,560,636,559,431,416,443,354,359,354,252,245,188,214,245,234,178,144
,GRAND LARCENY                         ,1848,1758,1779,1800,1963,1787,1708,1644,1642,1595,1481,1424,1467,1615,1433,1397,1371,1254
,GRAND LARCENY OF MOTOR VEHICLE                                  ,298,232,171,190,160,123,94,80,83,68,55,43,37,52,53,59,26,30
,TOTAL SEVEN MAJOR FELONY OFFENSES,3317,3054,3145,3031,3071,2812,2716,2540,2518,2389,2136,2044,2022,2152,2061,2056,1879,1694
14,MURDER & NON NEGL. MANSLAUGHTER                                ,7,4,8,4,2,1,1,2,1,2,0,2,1,2,0,7,2,3
,RAPE                                  ,12,11,12,14,24,17,3,16,7,6,17,15,9,10,12,13,18,21
,ROBBERY                               ,629,527,468,394,329,338,289,245,238,220,168,177,185,174,177,221,201,177
,FELONY ASSAULT                        ,393,314,313,265,229,197,182,195,172,163,182,178,191,172,165,180,179,233
,BURGLARY                              ,838,876,744,815,638,615,609,535,473,437,354,327,316,345,275,301,253,226
,GRAND LARCENY                         ,4870,4257,3628,3545,3449,3198,3056,2948,2793,2473,2325,2171,2176,2138,2090,2059,2121,1962
,GRAND LARCENY OF MOTOR VEHICLE                                  ,108,99,92,68,59,57,33,30,24,29,23,26,18,22,25,28,23,23
,TOTAL SEVEN MAJOR FELONY OFFENSES,6857,6088,5265,5105,4730,4423,4173,3971,3708,3330,3069,2896,2896,2863,2744,2809,2797,2645
17,MURDER & NON NEGL. MANSLAUGHTER                                ,1,0,1,1,0,0,2,1,1,0,0,0,2,0,0,1,1,2
,RAPE                                  ,9,7,14,8,10,12,11,6,8,11,8,10,10,6,11,3,10,6
,ROBBERY                               ,169,147,129,108,107,125,98,94,83,67,56,63,47,61,64,49,65,72
,FELONY ASSAULT                        ,79,103,73,94,85,79,72,72,75,47,54,53,80,64,46,74,72,83
,BURGLARY                              ,276,270,272,225,231,198,215,139,166,123,96,96,135,107,124,98,84,83
,GRAND LARCENY                         ,1363,1338,1220,1287,1175,933,957,920,891,741,745,694,721,766,634,721,742,755
,GRAND LARCENY OF MOTOR VEHICLE                                  ,131,125,92,73,59,50,36,45,45,29,31,21,25,20,30,40,26,22
,TOTAL SEVEN MAJOR FELONY OFFENSES,2028,1990,1801,1796,1667,1397,1391,1277,1269,1018,990,937,1020,1024,909,986,1000,1023
18,MURDER & NON NEGL. MANSLAUGHTER                                ,1,5,2,4,3,3,4,1,3,2,3,0,4,0,2,0,0,1
,RAPE                                  ,14,14,15,19,26,20,6,12,8,7,15,11,14,14,10,15,13,26
,ROBBERY                               ,430,397,325,267,257,270,227,166,165,124,137,137,123,125,129,159,163,135
,FELONY ASSAULT                        ,243,236,237,183,168,179,161,144,145,111,131,110,127,168,172,157,190,166
,BURGLARY                              ,678,483,479,465,387,399,296,266,247,232,188,183,171,175,213,220,208,203
,GRAND LARCENY                         ,4015,3926,3260,3042,3031,2680,2185,2105,2091,1967,1809,1758,1830,1753,1831,1773,1862,1838
,GRAND LARCENY OF MOTOR VEHICLE                                  ,226,202,190,164,120,101,66,67,59,36,48,29,44,36,37,37,31,42
,TOTAL SEVEN MAJOR FELONY OFFENSES,5607,5263,4508,4144,3992,3652,2945,2761,2718,2479,2331,2228,2313,2271,2394,2361,2467,2411
19,MURDER & NON NEGL. MANSLAUGHTER                                ,3,1,3,2,0,4,1,5,1,2,1,3,0,0,0,1,2,0
,RAPE                                  ,14,9,12,12,19,8,12,10,14,10,16,15,16,6,12,9,5,16
,ROBBERY                               ,390,367,349,267,307,313,252,220,192,149,144,137,129,104,96,107,99,125
,FELONY ASSAULT                        ,200,130,116,136,94,96,106,111,75,68,96,108,120,97,103,124,129,126
,BURGLARY                              ,712,710,713,551,553,454,488,376,419,322,234,250,241,252,218,174,216,203
,GRAND LARCENY                         ,2326,2263,2112,2116,2138,1834,1848,1715,1580,1304,1291,1232,1452,1548,1402,1414,1435,1444
,GRAND LARCENY OF MOTOR VEHICLE                                  ,543,304,301,226,215,183,135,145,90,85,89,83,78,57,82,75,73,58
,TOTAL SEVEN MAJOR FELONY OFFENSES,4188,3784,3606,3310,3326,2892,2842,2582,2371,1940,1871,1828,2036,2064,1913,1904,1959,1972
20,MURDER & NON NEGL. MANSLAUGHTER                                ,1,1,1,2,1,0,1,0,1,5,1,0,2,2,0,0,0,2
,RAPE                                  ,6,8,7,14,7,6,7,7,7,4,11,11,12,10,8,6,4,8
,ROBBERY                               ,177,174,187,154,167,156,148,118,123,99,90,76,96,81,53,68,57,71
,FELONY ASSAULT                        ,126,120,104,86,78,81,84,82,60,59,56,49,51,57,45,58,65,60
,BURGLARY                              ,228,170,242,247,207,194,145,126,150,120,101,74,105,85,88,66,59,78
,GRAND LARCENY                         ,998,891,797,885,1072,994,883,880,776,729,678,629,721,712,674,645,641,712
,GRAND LARCENY OF MOTOR VEHICLE                                  ,206,145,161,122,128,88,59,46,48,40,33,19,41,22,31,30,28,21
,TOTAL SEVEN MAJOR FELONY OFFENSES,1742,1509,1499,1510,1660,1519,1327,1259,1165,1056,970,858,1028,969,899,873,854,952
22,MURDER & NON NEGL. MANSLAUGHTER                                ,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,RAPE                                  ,3,3,5,4,7,2,0,1,1,0,7,2,1,4,1,3,1,5
,ROBBERY                               ,53,37,38,32,23,38,26,34,25,20,23,18,15,16,20,27,23,17
,FELONY ASSAULT                        ,9,13,15,5,11,10,2,10,3,6,6,10,7,5,11,3,6,5
,BURGLARY                              ,5,4,4,5,5,3,4,1,3,3,2,1,2,6,2,3,3,1
,GRAND LARCENY                         ,54,75,77,50,55,54,75,57,65,40,63,70,76,73,48,50,46,36
,GRAND LARCENY OF MOTOR VEHICLE                                  ,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
,TOTAL SEVEN MAJOR FELONY OFFENSES,125,133,141,96,101,107,107,104,97,70,101,101,101,104,83,86,79,66
23,MURDER & NON NEGL. MANSLAUGHTER                                ,9,10,8,8,5,11,10,10,3,9,5,5,2,4,4,7,2,3
,RAPE                                  ,18,32,31,34,33,44,22,21,15,22,26,28,29,17,15,24,21,14
,ROBBERY                               ,453,383,401,348,321,309,331,297,326,239,248,207,271,266,255,221,192,142
,FELONY ASSAULT                        ,419,344,288,302,242,245,215,203,202,210,217,242,263,256,254,301,330,321
,BURGLARY                              ,219,187,161,110,114,94,92,109,95,93,94,95,103,99,107,109,96,95
,GRAND LARCENY                         ,236,258,254,293,293,331,282,274,272,267,252,261,320,383,342,330,315,315
,GRAND LARCENY OF MOTOR VEHICLE                                  ,155,127,115,123,102,96,56,70,87,42,36,32,26,37,24,33,29,19
,TOTAL SEVEN MAJOR FELONY OFFENSES,1509,1341,1258,1218,1110,1130,1008,984,1000,882,878,870,1014,1062,1001,1025,985,909
24,MURDER & NON NEGL. MANSLAUGHTER                                ,3,3,2,5,0,2,5,2,4,3,2,5,4,2,1,1,1,2
,RAPE                                  ,14,15,15,16,18,21,10,13,12,9,11,12,10,10,13,10,8,14
,ROBBERY                               ,372,339,315,354,298,282,258,250,277,177,192,187,178,160,132,141,129,140
,FELONY ASSAULT                        ,199,187,145,167,141,141,131,110,116,136,102,126,131,152,121,106,130,128
,BURGLARY                              ,242,255,235,217,174,227,155,149,119,144,124,89,135,109,146,109,132,149
,GRAND LARCENY                         ,483,492,584,536,665,721,647,584,551,464,528,449,576,547,563,597,671,617
,GRAND LARCENY OF MOTOR VEHICLE                                  ,241,184,157,155,112,105,107,69,69,53,45,43,46,42,44,54,29,41
,TOTAL SEVEN MAJOR FELONY OFFENSES,1554,1475,1453,1450,1408,1499,1313,1177,1148,986,1004,911,1080,1022,1020,1018,1100,1091
25,MURDER & NON NEGL. MANSLAUGHTER                                ,10,7,7,6,8,8,9,10,4,3,13,9,10,3,5,5,4,2
,RAPE                                  ,21,22,20,28,36,23,24,19,17,14,17,23,29,22,28,24,22,25
,ROBBERY                               ,314,283,319,337,262,304,284,282,321,233,228,231,245,258,220,226,180,170
,FELONY ASSAULT                        ,351,298,278,253,275,234,254,232,211,219,234,227,286,286,335,351,335,326
,BURGLARY                              ,156,174,123,157,198,175,161,127,121,121,105,116,133,132,107,113,79,93
,GRAND LARCENY                         ,176,163,207,245,266,290,286,315,334,276,230,239,319,365,319,366,391,465
,GRAND LARCENY OF MOTOR VEHICLE                                  ,123,110,134,89,86,68,83,73,55,48,72,35,34,45,32,40,42,30
,TOTAL SEVEN MAJOR FELONY OFFENSES,1151,1057,1088,1115,1131,1102,1101,1058,1063,914,899,880,1056,1111,1046,1125,1053,1111
26,MURDER & NON NEGL. MANSLAUGHTER                                ,4,1,2,4,5,5,0,2,4,2,2,2,3,1,2,0,0,1
,RAPE                                  ,6,9,12,12,25,19,12,8,16,10,13,7,10,9,16,6,10,11
,ROBBERY                               ,225,218,232,213,230,270,250,206,201,197,175,154,145,135,125,123,107,96
,FELONY ASSAULT                        ,159,122,150,116,125,82,102,93,79,77,107,100,113,122,84,78,94,87
,BURGLARY                              ,201,124,123,127,111,108,102,71,78,58,79,57,60,59,59,64,55,56
,GRAND LARCENY                         ,380,333,292,363,343,365,367,347,331,272,268,269,324,343,311,302,309,329
,GRAND LARCENY OF MOTOR VEHICLE                                  ,117,123,111,94,70,64,56,53,49,34,26,27,23,20,20,24,22,16
,TOTAL SEVEN MAJOR FELONY OFFENSES,1092,930,922,929,909,913,889,780,758,650,670,616,678,689,617,597,597,596
28,MURDER & NON NEGL. MANSLAUGHTER                                ,5,8,3,5,8,5,12,4,5,2,6,6,5,2,1,3,3,4
,RAPE                                  ,24,19,24,25,16,20,18,12,14,9,13,18,17,12,14,13,11,8
,ROBBERY                               ,315,252,246,282,234,334,308,278,255,240,254,223,210,211,176,189,209,202
,FELONY ASSAULT                        ,314,291,226,186,217,187,196,167,189,208,187,213,241,222,202,233,243,203
,BURGLARY                              ,210,141,137,155,153,119,173,97,127,111,111,126,102,82,79,102,114,91
,GRAND LARCENY                         ,252,152,167,172,200,288,344,286,363,300,301,308,350,352,329,378,426,440
,GRAND LARCENY OF MOTOR VEHICLE                                  ,77,105,92,89,84,52,54,42,50,27,20,17,20,39,22,27,27,18
,TOTAL SEVEN MAJOR FELONY OFFENSES,1197,968,895,914,912,1005,1105,886,1003,897,892,911,945,920,823,945,1033,966
30,MURDER & NON NEGL. MANSLAUGHTER                                ,9,11,9,5,9,6,12,5,3,1,7,2,2,3,7,2,4,1
,RAPE                                  ,27,30,23,30,33,32,24,18,12,19,35,21,11,21,18,20,22,9
,ROBBERY                               ,394,296,310,333,299,316,300,324,293,205,253,246,257,218,150,168,174,153
,FELONY ASSAULT                        ,353,390,306,272,285,250,228,235,172,193,178,189,189,181,202,172,180,135
,BURGLARY                              ,344,213,184,179,218,137,145,119,123,100,101,134,151,130,100,99,71,85
,GRAND LARCENY                         ,189,151,165,225,255,280,275,219,223,172,144,180,230,244,250,247,240,291
,GRAND LARCENY OF MOTOR VEHICLE                                  ,167,120,99,110,87,80,69,55,62,47,49,25,28,35,22,25,31,22
,TOTAL SEVEN MAJOR FELONY OFFENSES,1483,1211,1096,1154,1186,1101,1053,975,888,737,767,797,868,832,749,733,722,696
32,MURDER & NON NEGL. MANSLAUGHTER                                ,17,22,14,13,18,9,17,9,13,11,8,10,11,7,6,3,7,4
,RAPE                                  ,45,34,34,45,34,43,32,30,35,24,31,27,33,27,17,35,32,17
,ROBBERY                               ,432,442,362,372,387,407,411,351,280,265,292,244,243,261,254,278,197,199
,FELONY ASSAULT                        ,510,487,444,411,407,356,361,305,329,302,305,321,279,295,299,349,354,335
,BURGLARY                              ,292,245,232,217,196,161,208,189,174,155,121,152,108,82,94,113,132,97
,GRAND LARCENY                         ,253,217,229,240,301,289,354,309,315,280,293,302,315,297,297,305,282,267
,GRAND LARCENY OF MOTOR VEHICLE                                  ,148,155,131,112,112,99,92,85,58,68,53,52,40,31,29,37,48,31
,TOTAL SEVEN MAJOR FELONY OFFENSES,1697,1602,1446,1410,1455,1364,1475,1278,1204,1105,1103,1108,1029,1000,996,1120,1052,950
33,MURDER & NON NEGL. MANSLAUGHTER                                ,12,8,5,6,5,6,10,5,2,3,4,7,2,2,2,1,3,2
,RAPE                                  ,19,21,28,25,16,27,30,13,18,15,21,27,19,19,19,21,14,9
,ROBBERY                               ,295,280,290,314,284,269,245,227,247,225,246,230,214,202,145,137,121,107
,FELONY ASSAULT                        ,302,318,301,252,230,209,199,196,184,199,174,181,177,200,173,199,191,189
,BURGLARY                              ,295,199,168,173,180,148,142,140,136,134,102,129,163,118,111,103,53,77
,GRAND LARCENY                         ,185,193,251,252,292,228,219,244,258,231,271,242,276,357,327,305,302,262
,GRAND LARCENY OF MOTOR VEHICLE                                  ,201,195,189,179,116,113,103,93,76,69,66,61,43,29,34,41,28,35
,TOTAL SEVEN MAJOR FELONY OFFENSES,1309,1214,1232,1201,1123,1000,948,918,921,876,884,877,894,927,811,807,712,681
34,MURDER & NON NEGL. MANSLAUGHTER                                ,8,7,7,9,5,10,10,1,3,2,4,8,5,1,1,3,4,3
,RAPE                                  ,40,27,38,37,40,27,23,24,19,17,22,18,20,25,13,23,10,14
,ROBBERY                               ,357,332,334,311,338,323,326,281,271,250,282,286,246,239,224,246,229,201
,FELONY ASSAULT                        ,275,280,275,260,242,241,202,231,216,198,220,236,207,178,204,246,308,290
,BURGLARY                              ,610,420,373,311,390,281,272,294,242,254,190,272,261,208,177,193,139,172
,GRAND LARCENY                         ,299,274,316,322,351,387,367,375,433,379,385,374,339,433,456,516,563,631
,GRAND LARCENY OF MOTOR VEHICLE                                  ,388,350,375,336,290,233,203,153,143,138,97,89,79,76,76,88,70,71
,TOTAL SEVEN MAJOR FELONY OFFENSES,1977,1690,1718,1586,1656,1502,1403,1359,1327,1238,1200,1283,1157,1160,1151,1315,1323,1382
40,MURDER & NON NEGL. MANSLAUGHTER                                ,13,27,16,16,8,10,14,14,15,14,14,21,12,8,7,9,14,6
,RAPE                                  ,36,50,47,44,36,28,39,24,29,24,23,23,26,25,29,37,38,44
,ROBBERY                               ,611,591,585,634,600,571,478,451,545,408,444,396,480,454,407,514,531,479
,FELONY ASSAULT                        ,592,505,489,498,484,418,446,438,389,422,435,453,392,511,469,579,744,804
,BURGLARY                              ,465,326,285,271,295,258,234,240,275,252,200,238,158,213,144,236,266,236
,GRAND LARCENY                         ,413,378,416,449,448,460,442,485,435,369,430,405,482,586,488,645,746,802
,GRAND LARCENY OF MOTOR VEHICLE                                  ,319,285,277,234,232,205,221,175,177,156,126,131,78,105,102,98,91,105
,TOTAL SEVEN MAJOR FELONY OFFENSES,2449,2162,2115,2146,2103,1950,1874,1827,1865,1645,1672,1667,1628,1902,1646,2118,2430,2476
41,MURDER & NON NEGL. MANSLAUGHTER                                ,5,12,7,6,4,10,14,8,3,6,5,5,8,2,4,3,8,3
,RAPE                                  ,34,19,18,31,21,21,18,18,16,12,20,18,12,17,18,22,22,20
,ROBBERY                               ,287,247,246,264,248,259,286,312,296,224,283,299,329,328,252,226,242,132
,FELONY ASSAULT                        ,716,561,435,401,388,386,348,339,371,405,399,431,556,732,353,347,293,270
,BURGLARY                              ,392,228,252,257,252,232,213,207,215,215,210,204,205,202,206,165,166,131
,GRAND LARCENY                         ,184,180,210,197,236,238,237,245,243,292,274,292,321,403,378,334,336,288
,GRAND LARCENY OF MOTOR VEHICLE                                  ,216,193,237,216,171,176,161,147,135,89,80,93,57,76,80,67,75,64
,TOTAL SEVEN MAJOR FELONY OFFENSES,1834,1440,1405,1372,1320,1322,1277,1276,1279,1243,1271,1342,1488,1760,1291,1164,1142,908
42,MURDER & NON NEGL. MANSLAUGHTER                                ,12,18,18,10,10,7,17,8,14,15,13,10,8,12,5,6,8,8
,RAPE                                  ,40,44,47,32,37,33,20,23,23,24,20,28,30,24,30,33,37,31
,ROBBERY                               ,424,345,387,409,373,456,396,380,348,267,324,325,334,320,307,329,321,244
,FELONY ASSAULT                        ,491,469,373,340,386,381,354,321,291,303,318,316,340,405,424,379,489,437
,BURGLARY                              ,412,355,345,367,333,327,334,319,190,164,150,178,165,177,163,185,174,187
,GRAND LARCENY                         ,207,220,204,231,226,254,339,354,322,251,230,247,288,320,305,299,300,410
,GRAND LARCENY OF MOTOR VEHICLE                                  ,252,235,258,250,227,226,208,158,163,118,123,139,112,77,100,112,85,95
,TOTAL SEVEN MAJOR FELONY OFFENSES,1838,1686,1632,1639,1592,1684,1668,1563,1351,1142,1178,1243,1277,1335,1334,1343,1414,1412
43,MURDER & NON NEGL. MANSLAUGHTER                                ,16,14,28,10,15,14,12,6,13,13,14,19,18,9,9,8,8,10
,RAPE                                  ,67,67,79,61,49,36,37,37,32,47,35,22,38,26,36,44,43,33
,ROBBERY                               ,730,602,609,620,592,577,521,514,584,503,537,534,584,586,546,560,547,393
,FELONY ASSAULT                        ,639,633,606,509,521,533,535,525,475,491,509,537,541,600,667,632,566,587
,BURGLARY                              ,767,727,613,547,499,459,441,402,390,418,384,385,348,361,327,322,312,185
,GRAND LARCENY                         ,514,533,574,638,624,705,699,706,688,631,574,601,687,708,693,710,692,680
,GRAND LARCENY OF MOTOR VEHICLE                                  ,843,753,711,699,657,516,464,402,392,320,253,284,221,190,174,215,174,172
,TOTAL SEVEN MAJOR FELONY OFFENSES,3576,3329,3220,3084,2957,2840,2709,2592,2574,2423,2306,2382,2437,2480,2452,2491,2342,2060
44,MURDER & NON NEGL. MANSLAUGHTER                                ,25,30,26,23,17,16,13,21,20,11,14,19,8,9,15,11,13,9
,RAPE                                  ,62,65,89,82,50,40,31,40,49,32,33,34,33,30,33,34,29,32
,ROBBERY                               ,866,720,669,528,543,571,501,474,520,408,515,473,452,420,415,556,483,377
,FELONY ASSAULT                        ,789,701,670,583,605,525,586,530,491,585,558,557,670,709,687,703,649,583
