Seven Major Felony Offenses,,,,,,,,,,,,,,,,,,,
,BURGLARY                              ,699,530,608,644,553,469,539,483,456,483,477,481,520,397,496,472,323,334
,GRAND LARCENY                         ,251,289,321,298,312,369,306,341,351,308,298,375,430,553,482,426,487,466
,GRAND LARCENY OF MOTOR VEHICLE                                  ,392,327,317,319,267,271,263,201,211,157,176,118,180,152,134,131,115,110
,TOTAL SEVEN MAJOR FELONY OFFENSES,2553,2308,2260,2192,2109,2049,2072,1888,1878,1736,1836,1823,2035,1903,1796,1678,1606,1520
84,MURDER & NON NEGL. MANSLAUGHTER                                ,1,3,3,1,0,0,2,2,1,1,3,1,3,1,1,2,3,4
,RAPE                                  ,7,6,18,4,5,12,6,5,4,3,2,3,5,4,6,10,4,7
,ROBBERY                               ,360,284,287,308,230,244,217,228,247,153,184,171,181,156,142,121,127,127
,FELONY ASSAULT                        ,202,205,170,155,155,145,147,166,150,120,114,126,133,121,128,134,121,146
,BURGLARY                              ,309,306,259,174,181,150,156,159,146,112,119,145,141,101,115,92,80,117
,GRAND LARCENY                         ,744,767,792,690,695,713,684,647,593,549,513,561,552,653,604,684,593,649
,GRAND LARCENY OF MOTOR VEHICLE                                  ,190,155,138,114,100,106,71,53,58,55,52,45,23,38,42,51,34,29
,TOTAL SEVEN MAJOR FELONY OFFENSES,1813,1726,1667,1446,1366,1370,1283,1260,1199,993,987,1052,1038,1074,1038,1094,962,1079
88,MURDER & NON NEGL. MANSLAUGHTER                                ,9,11,6,6,5,1,11,10,4,3,6,2,4,6,2,8,2,1
,RAPE                                  ,20,14,26,25,11,9,6,11,7,4,8,14,10,11,3,11,11,9
,ROBBERY                               ,435,424,339,400,333,324,263,217,240,196,237,294,276,218,194,149,121,101
,FELONY ASSAULT                        ,211,212,201,191,155,134,143,160,135,138,133,154,206,197,170,180,179,148
,BURGLARY                              ,265,231,238,189,214,232,186,152,173,182,184,126,209,146,182,122,112,144
,GRAND LARCENY                         ,347,331,403,351,449,443,469,478,459,403,477,444,449,433,410,370,378,328
,GRAND LARCENY OF MOTOR VEHICLE                                  ,371,327,265,227,183,161,120,116,102,88,101,80,82,82,100,87,57,42
,TOTAL SEVEN MAJOR FELONY OFFENSES,1658,1550,1478,1389,1350,1304,1198,1144,1120,1014,1146,1114,1236,1093,1061,927,860,773
90,MURDER & NON NEGL. MANSLAUGHTER                                ,12,12,7,7,2,7,5,3,6,7,2,5,5,6,2,6,3,7
,RAPE                                  ,24,19,37,23,27,21,24,14,10,8,9,23,11,17,15,19,22,20
,ROBBERY                               ,563,529,488,453,438,430,403,424,432,331,380,385,387,303,253,273,228,197
,FELONY ASSAULT                        ,276,270,239,209,185,221,198,202,222,226,206,235,239,257,240,180,228,258
,BURGLARY                              ,532,483,552,578,549,490,584,362,428,482,476,313,348,277,333,383,257,271
,GRAND LARCENY                         ,326,373,372,409,416,473,551,526,628,478,495,584,601,667,652,642,706,695
,GRAND LARCENY OF MOTOR VEHICLE                                  ,333,349,416,353,348,311,260,195,166,138,165,189,125,142,160,149,114,124
,TOTAL SEVEN MAJOR FELONY OFFENSES,2066,2035,2111,2032,1965,1953,2025,1726,1892,1670,1733,1734,1716,1669,1655,1652,1558,1572
94,MURDER & NON NEGL. MANSLAUGHTER                                ,2,5,3,5,4,0,1,0,1,3,0,1,0,1,1,2,1,2
,RAPE                                  ,5,6,6,9,8,5,3,6,3,2,2,3,12,16,10,8,13,11
,ROBBERY                               ,211,195,172,159,154,162,148,158,131,119,132,128,134,117,93,76,86,85
,FELONY ASSAULT                        ,111,110,99,72,68,86,94,78,82,71,73,93,89,115,94,97,87,87
,BURGLARY                              ,250,229,254,327,318,275,240,265,229,221,243,157,213,190,241,221,171,134
,GRAND LARCENY                         ,167,179,165,190,192,260,256,276,314,307,308,317,411,493,481,488,515,416
,GRAND LARCENY OF MOTOR VEHICLE                                  ,258,262,296,266,246,209,210,132,145,122,147,114,91,111,113,120,84,66
,TOTAL SEVEN MAJOR FELONY OFFENSES,1004,986,995,1028,990,997,952,915,905,845,905,813,950,1043,1033,1012,957,801
100,MURDER & NON NEGL. MANSLAUGHTER                                ,5,1,2,4,1,2,2,1,5,2,1,1,2,3,1,3,0,1
,RAPE                                  ,9,10,11,10,5,7,14,6,7,5,4,5,4,3,7,10,5,9
,ROBBERY                               ,97,66,72,52,45,76,79,74,75,50,62,86,54,61,59,66,54,52
,FELONY ASSAULT                        ,110,94,82,88,73,68,65,84,87,93,79,130,133,147,136,128,121,143
,BURGLARY                              ,156,117,83,69,70,72,62,51,66,69,57,138,207,151,130,77,66,73
,GRAND LARCENY                         ,77,91,92,82,102,107,99,114,124,109,100,144,185,173,187,194,232,157
,GRAND LARCENY OF MOTOR VEHICLE                                  ,71,69,69,45,51,40,34,37,29,22,27,21,30,20,35,23,18,21
,TOTAL SEVEN MAJOR FELONY OFFENSES,525,448,411,350,347,372,355,367,393,350,330,525,615,558,555,501,496,456
101,MURDER & NON NEGL. MANSLAUGHTER                                ,9,6,6,12,9,6,7,4,10,8,6,8,7,3,5,5,2,3
,RAPE                                  ,37,17,27,23,15,28,22,19,12,21,16,17,15,19,13,16,19,25
,ROBBERY                               ,329,247,172,213,140,132,166,145,154,129,121,128,143,148,145,169,154,127
,FELONY ASSAULT                        ,307,304,197,179,146,127,148,184,186,171,159,183,245,212,279,329,316,297
,BURGLARY                              ,277,214,166,113,89,83,84,110,110,113,136,132,237,227,152,151,141,95
,GRAND LARCENY                         ,210,192,158,126,136,144,149,170,154,150,99,117,197,182,197,221,229,253
,GRAND LARCENY OF MOTOR VEHICLE                                  ,249,159,150,91,83,93,65,68,62,67,78,46,55,61,73,36,51,27
,TOTAL SEVEN MAJOR FELONY OFFENSES,1418,1139,876,757,618,613,641,700,688,659,615,631,899,852,864,927,912,827
102,MURDER & NON NEGL. MANSLAUGHTER                                ,7,2,5,5,1,5,10,1,8,4,5,6,7,7,3,6,5,6
,RAPE                                  ,28,27,31,33,30,23,24,24,27,23,14,23,29,24,15,17,21,19
,ROBBERY                               ,552,473,448,349,312,361,335,323,338,286,272,269,326,311,234,238,173,141
,FELONY ASSAULT                        ,368,327,289,254,207,196,228,233,212,241,239,260,260,327,240,302,274,176
,BURGLARY                              ,705,648,479,429,379,417,419,392,329,366,358,298,315,288,293,227,172,154
,GRAND LARCENY                         ,447,357,429,444,453,448,424,408,455,409,356,419,443,490,496,401,358,306
,GRAND LARCENY OF MOTOR VEHICLE                                  ,970,808,786,622,521,447,413,322,339,282,290,254,232,252,256,234,175,124
,TOTAL SEVEN MAJOR FELONY OFFENSES,3077,2642,2467,2136,1903,1897,1853,1703,1708,1611,1534,1529,1612,1699,1537,1425,1178,926
103,MURDER & NON NEGL. MANSLAUGHTER                                ,14,11,13,30,19,9,15,8,13,11,15,11,10,8,9,6,4,6
,RAPE                                  ,31,36,40,48,49,44,38,27,32,32,21,37,34,37,20,28,29,30
,ROBBERY                               ,640,553,569,437,428,453,448,426,475,392,480,436,438,438,392,384,387,355
,FELONY ASSAULT                        ,493,415,369,335,279,312,302,293,326,385,342,357,378,369,458,444,414,386
,BURGLARY                              ,526,465,372,326,352,349,352,318,290,300,257,252,310,300,281,251,202,165
,GRAND LARCENY                         ,630,617,530,493,501,483,544,598,515,463,419,405,495,487,493,504,471,511
,GRAND LARCENY OF MOTOR VEHICLE                                  ,571,488,413,431,384,330,257,230,201,178,169,204,175,172,144,110,98,80
,TOTAL SEVEN MAJOR FELONY OFFENSES,2905,2585,2306,2100,2012,1980,1956,1900,1852,1761,1703,1702,1840,1811,1797,1727,1605,1533
104,MURDER & NON NEGL. MANSLAUGHTER                                ,6,5,3,3,9,2,3,4,4,2,4,2,1,3,3,3,1,2
,RAPE                                  ,14,15,20,15,22,23,29,11,17,13,21,14,15,15,18,19,21,16
,ROBBERY                               ,408,356,406,410,323,309,309,297,301,279,263,262,279,256,180,174,179,144
,FELONY ASSAULT                        ,216,262,217,214,216,164,144,161,150,184,225,250,256,241,215,185,208,187
,BURGLARY                              ,905,768,785,732,572,514,525,458,389,450,448,401,390,339,292,267,303,263
,GRAND LARCENY                         ,449,542,620,551,592,555,514,430,533,500,431,543,529,572,575,529,545,523
,GRAND LARCENY OF MOTOR VEHICLE                                  ,1059,906,656,588,529,441,456,352,343,297,359,250,210,181,227,178,156,152
,TOTAL SEVEN MAJOR FELONY OFFENSES,3057,2854,2707,2513,2263,2008,1980,1713,1737,1725,1751,1722,1680,1607,1510,1355,1413,1287
105,MURDER & NON NEGL. MANSLAUGHTER                                ,8,17,14,13,10,9,9,10,9,9,15,5,8,3,7,8,1,6
,RAPE                                  ,32,38,37,38,35,54,41,37,32,32,19,27,34,18,23,37,17,21
,ROBBERY                               ,428,403,382,389,326,322,423,403,409,344,337,342,353,331,213,275,222,214
,FELONY ASSAULT                        ,317,327,325,281,317,280,254,277,248,237,270,278,290,313,353,359,336,392
,BURGLARY                              ,643,622,617,560,451,475,520,550,471,433,394,493,537,469,323,358,334,302
,GRAND LARCENY                         ,481,466,497,571,602,627,551,528,494,464,442,452,488,520,592,679,633,609
,GRAND LARCENY OF MOTOR VEHICLE                                  ,1046,918,758,739,595,483,424,339,344,362,383,421,320,263,232,232,204,161
,TOTAL SEVEN MAJOR FELONY OFFENSES,2955,2791,2630,2591,2336,2250,2222,2144,2007,1881,1860,2018,2030,1917,1743,1948,1747,1705
106,MURDER & NON NEGL. MANSLAUGHTER                                ,8,4,7,2,10,8,3,3,8,4,5,4,2,6,2,3,9,6
,RAPE                                  ,33,19,12,27,23,17,27,21,19,11,18,10,16,19,25,14,15,11
,ROBBERY                               ,472,353,283,235,290,322,394,320,348,245,261,267,312,328,272,264,211,214
,FELONY ASSAULT                        ,285,241,193,147,166,176,176,201,148,166,152,221,192,253,239,216,228,233
,BURGLARY                              ,619,416,263,220,333,316,332,335,304,313,306,330,373,346,251,234,215,205
,GRAND LARCENY                         ,459,363,319,294,360,392,378,389,411,388,366,378,485,522,537,600,544,489
,GRAND LARCENY OF MOTOR VEHICLE                                  ,982,783,612,465,422,396,386,315,314,272,324,283,220,191,237,248,123,113
,TOTAL SEVEN MAJOR FELONY OFFENSES,2858,2179,1689,1390,1604,1627,1696,1584,1552,1399,1432,1493,1600,1665,1563,1579,1345,1271
107,MURDER & NON NEGL. MANSLAUGHTER                                ,3,4,1,4,0,7,3,3,4,3,4,3,2,1,1,3,3,0
,RAPE                                  ,18,19,14,15,22,23,19,17,12,12,14,13,10,7,24,8,19,22
,ROBBERY                               ,373,374,388,379,323,385,322,291,301,260,256,237,243,242,192,212,176,170
,FELONY ASSAULT                        ,205,164,150,146,163,123,121,100,92,90,96,123,132,138,118,112,106,138
,BURGLARY                              ,587,627,754,713,558,361,433,448,376,289,276,269,261,244,172,151,187,186
,GRAND LARCENY                         ,601,586,540,563,724,735,688,619,612,479,447,432,465,517,457,465,511,515
,GRAND LARCENY OF MOTOR VEHICLE                                  ,916,800,633,629,458,414,396,282,227,216,232,214,173,149,146,153,141,83
,TOTAL SEVEN MAJOR FELONY OFFENSES,2703,2574,2480,2449,2248,2048,1982,1760,1624,1349,1325,1291,1286,1298,1110,1104,1143,1114
108,MURDER & NON NEGL. MANSLAUGHTER                                ,2,3,8,3,2,8,2,1,3,3,2,2,4,4,2,2,3,0
,RAPE                                  ,21,17,10,24,12,27,13,16,9,12,17,11,16,15,15,17,16,11
,ROBBERY                               ,423,307,351,275,271,239,178,206,211,163,195,155,191,160,157,120,103,100
,FELONY ASSAULT                        ,226,151,196,182,145,154,163,130,112,98,130,121,143,171,169,154,137,155
,BURGLARY                              ,758,549,625,582,489,399,398,331,295,264,256,291,244,244,229,204,149,146
,GRAND LARCENY                         ,562,580,659,587,594,501,515,498,516,488,456,506,463,572,563,459,538,502
,GRAND LARCENY OF MOTOR VEHICLE                                  ,771,711,541,571,489,367,315,261,211,190,198,181,136,166,143,149,117,89
,TOTAL SEVEN MAJOR FELONY OFFENSES,2763,2318,2390,2224,2002,1695,1584,1443,1357,1218,1254,1267,1197,1332,1278,1105,1063,1003
109,MURDER & NON NEGL. MANSLAUGHTER                                ,12,5,6,4,12,3,6,6,4,3,7,8,4,1,6,3,3,1
,RAPE                                  ,25,23,17,20,17,34,20,18,17,13,17,19,11,31,21,21,15,22
,ROBBERY                               ,431,379,386,398,305,380,261,235,278,276,211,252,267,243,178,190,213,195
,FELONY ASSAULT                        ,356,306,320,278,274,222,208,250,215,211,217,239,262,286,263,236,258,252
,BURGLARY                              ,936,964,1086,867,568,482,466,544,452,417,486,397,438,471,464,324,319,276
,GRAND LARCENY                         ,1077,1158,1215,1313,1312,1101,1008,890,898,808,682,696,775,904,884,936,949,893
,GRAND LARCENY OF MOTOR VEHICLE                                  ,1223,1079,992,750,660,480,479,313,379,290,290,288,214,210,221,164,160,138
,TOTAL SEVEN MAJOR FELONY OFFENSES,4060,3914,4022,3630,3148,2702,2448,2256,2243,2018,1910,1899,1971,2146,2037,1874,1917,1777
110,MURDER & NON NEGL. MANSLAUGHTER                                ,5,9,4,8,7,8,6,4,3,6,4,2,8,6,8,1,2,5
,RAPE                                  ,31,46,39,39,39,44,44,44,34,32,28,22,25,32,28,26,30,25
,ROBBERY                               ,645,616,574,571,497,487,439,400,391,332,360,332,351,341,282,276,260,307
,FELONY ASSAULT                        ,330,335,330,278,254,229,229,224,258,243,255,268,294,292,283,296,277,259
,BURGLARY                              ,591,480,636,542,535,508,441,434,334,316,293,316,315,279,332,213,227,194
,GRAND LARCENY                         ,544,635,617,657,708,751,759,738,772,626,552,551,667,692,571,585,684,531
,GRAND LARCENY OF MOTOR VEHICLE                                  ,676,498,473,382,350,304,242,163,169,146,145,122,113,105,109,105,97,86
,TOTAL SEVEN MAJOR FELONY OFFENSES,2822,2619,2673,2477,2390,2331,2160,2007,1961,1701,1637,1613,1773,1747,1613,1502,1577,1407
111,MURDER & NON NEGL. MANSLAUGHTER                                ,4,1,0,2,1,0,0,1,0,1,0,2,1,0,0,0,2,1
,RAPE                                  ,5,3,6,4,9,1,4,8,1,4,6,6,6,3,1,6,4,3
,ROBBERY                               ,141,156,101,99,106,121,136,82,97,87,81,79,73,73,44,55,46,39
,FELONY ASSAULT                        ,96,62,51,92,83,51,51,56,43,41,52,48,63,65,66,58,72,58
,BURGLARY                              ,424,338,478,502,381,281,382,317,284,242,252,204,244,232,219,198,179,167
,GRAND LARCENY                         ,326,345,396,499,506,506,451,386,446,394,365,384,395,457,454,408,488,416
,GRAND LARCENY OF MOTOR VEHICLE                                  ,618,635,475,317,280,216,172,155,162,169,135,107,97,79,97,72,62,59
,TOTAL SEVEN MAJOR FELONY OFFENSES,1614,1540,1507,1515,1366,1176,1196,1005,1033,938,891,830,879,909,881,797,853,743
112,MURDER & NON NEGL. MANSLAUGHTER                                ,0,0,1,0,4,2,0,3,1,2,1,2,0,0,0,1,1,0
,RAPE                                  ,8,3,6,1,8,11,8,6,3,6,4,11,7,5,7,6,8,7
,ROBBERY                               ,230,217,174,177,198,198,203,114,139,116,119,105,102,76,57,44,50,40
,FELONY ASSAULT                        ,103,93,75,59,64,75,62,54,74,65,59,62,84,59,60,58,52,55
,BURGLARY                              ,453,364,374,300,397,226,221,267,186,177,135,150,143,173,114,114,81,91
,GRAND LARCENY                         ,563,656,725,644,731,785,675,575,522,408,376,492,495,470,412,349,373,386
,GRAND LARCENY OF MOTOR VEHICLE                                  ,685,638,474,284,273,276,226,163,141,97,101,103,80,60,102,89,51,43
,TOTAL SEVEN MAJOR FELONY OFFENSES,2042,1971,1829,1465,1675,1573,1395,1182,1066,871,795,925,911,843,752,661,616,622
113,MURDER & NON NEGL. MANSLAUGHTER                                ,12,10,14,17,17,13,6,13,15,12,19,17,16,7,9,9,9,9
,RAPE                                  ,59,53,46,41,50,44,31,36,36,29,25,29,29,18,18,18,23,25
,ROBBERY                               ,398,359,334,313,336,310,392,454,402,368,369,416,354,376,259,232,192,190
,FELONY ASSAULT                        ,432,394,305,272,314,294,323,332,334,327,352,482,488,459,464,398,425,386
,BURGLARY                              ,528,465,387,309,318,356,387,413,445,325,421,494,450,396,334,256,198,128
,GRAND LARCENY                         ,1171,859,651,675,723,737,707,706,725,671,688,687,761,637,570,543,474,411
,GRAND LARCENY OF MOTOR VEHICLE                                  ,782,526,557,467,407,404,334,318,326,261,264,241,269,162,220,139,98,131
,TOTAL SEVEN MAJOR FELONY OFFENSES,3382,2666,2294,2094,2165,2158,2180,2272,2283,1993,2138,2366,2367,2055,1874,1595,1419,1280
114,MURDER & NON NEGL. MANSLAUGHTER                                ,13,5,5,8,8,8,8,5,4,4,9,5,6,4,2,6,2,3
,RAPE                                  ,25,34,35,35,40,38,41,19,21,22,16,26,41,29,23,19,31,29
,ROBBERY                               ,612,590,535,487,472,436,450,321,334,313,332,331,321,247,262,224,212,211
,FELONY ASSAULT                        ,363,382,370,302,302,294,263,305,254,269,283,347,354,308,282,323,319,347
,BURGLARY                              ,950,872,752,600,551,539,429,448,525,466,482,466,473,383,447,312,251,215
,GRAND LARCENY                         ,716,772,746,764,927,962,908,933,770,745,642,647,696,709,708,696,813,683
,GRAND LARCENY OF MOTOR VEHICLE                                  ,1059,873,848,555,599,489,403,327,341,228,263,188,193,205,188,187,191,105
,TOTAL SEVEN MAJOR FELONY OFFENSES,3738,3528,3291,2751,2899,2766,2502,2358,2249,2047,2027,2010,2084,1885,1912,1767,1819,1593
115,MURDER & NON NEGL. MANSLAUGHTER                                ,5,4,9,7,5,3,5,5,4,8,3,4,5,3,6,1,0,1
,RAPE                                  ,30,26,34,37,40,58,38,36,37,34,33,41,41,35,31,33,40,32
,ROBBERY                               ,544,442,519,395,447,426,425,341,379,347,345,347,338,358,338,339,349,344
,FELONY ASSAULT                        ,341,318,308,259,276,284,301,261,284,329,325,360,329,341,352,368,380,356
,BURGLARY                              ,505,506,559,517,492,503,427,408,371,298,296,322,337,306,338,235,246,254
,GRAND LARCENY                         ,918,892,837,725,650,604,665,623,580,522,517,574,546,592,663,679,693,675
,GRAND LARCENY OF MOTOR VEHICLE                                  ,678,628,564,427,429,375,308,271,258,236,241,191,173,125,160,140,177,156
,TOTAL SEVEN MAJOR FELONY OFFENSES,3021,2816,2830,2367,2339,2253,2169,1945,1913,1774,1760,1839,1769,1760,1888,1795,1885,1818
120,MURDER & NON NEGL. MANSLAUGHTER                                ,20,7,9,8,6,9,16,7,13,12,13,12,7,4,7,11,6,5
,RAPE                                  ,41,30,31,31,31,43,40,37,50,44,43,42,39,31,29,21,20,32
,ROBBERY                               ,311,267,265,263,250,290,323,299,319,256,282,247,289,318,196,227,200,139
,FELONY ASSAULT                        ,435,445,391,274,379,345,302,316,295,298,295,382,477,415,266,261,302,312
,BURGLARY                              ,620,569,568,465,442,438,369,373,349,306,306,370,401,280,205,187,164,154
,GRAND LARCENY                         ,444,402,384,454,431,459,425,456,457,375,416,408,494,459,389,361,345,331
,GRAND LARCENY OF MOTOR VEHICLE                                  ,476,328,320,243,246,228,247,218,209,214,192,169,166,94,73,79,94,88
,TOTAL SEVEN MAJOR FELONY OFFENSES,2347,2048,1968,1738,1785,1812,1722,1706,1692,1505,1547,1630,1873,1601,1165,1147,1131,1061
121,MURDER & NON NEGL. MANSLAUGHTER                                ,,,,,,,,,,,,,,1,4,0,9,5
,RAPE                                  ,,,,,,,,,,,,,,9,12,13,19,11
,ROBBERY                               ,,,,,,,,,,,,,,99,151,138,120,111
,FELONY ASSAULT                        ,,,,,,,,,,,,,,97,225,248,190,190
,BURGLARY                              ,,,,,,,,,,,,,,99,134,166,137,112
,GRAND LARCENY                         ,,,,,,,,,,,,,,215,393,430,397,355
,GRAND LARCENY OF MOTOR VEHICLE                                  ,,,,,,,,,,,,,,28,60,74,63,76
,TOTAL SEVEN MAJOR FELONY OFFENSES,,,,,,,,,,,,,,548,979,1069,935,860
122,MURDER & NON NEGL. MANSLAUGHTER                                ,3,4,3,0,1,5,2,3,7,3,2,2,2,2,3,2,4,3
,RAPE                                  ,19,6,18,16,10,14,14,8,11,9,18,11,17,12,4,3,6,6
,ROBBERY                               ,126,75,81,86,128,128,103,131,115,108,116,112,126,82,57,62,82,62
,FELONY ASSAULT                        ,157,141,137,113,137,127,90,89,95,114,141,127,148,102,108,121,116,100
,BURGLARY                              ,292,242,306,222,258,248,194,293,289,233,203,259,254,215,185,134,141,103
,GRAND LARCENY                         ,428,434,423,527,565,532,535,513,570,454,410,381,454,404,306,305,321,269
,GRAND LARCENY OF MOTOR VEHICLE                                  ,667,532,386,288,257,230,265,222,170,158,118,115,107,62,57,44,66,47
,TOTAL SEVEN MAJOR FELONY OFFENSES,1692,1434,1354,1252,1356,1284,1203,1259,1257,1079,1008,1007,1108,879,720,671,736,590
123,MURDER & NON NEGL. MANSLAUGHTER                                ,2,2,0,1,1,1,2,2,1,1,2,2,1,0,1,1,2,0
,RAPE                                  ,3,2,4,4,3,3,0,2,5,4,2,1,5,5,0,3,4,3
,ROBBERY                               ,35,30,29,33,29,44,29,28,37,35,22,37,29,23,15,29,19,13
,FELONY ASSAULT                        ,67,57,50,49,56,55,25,56,37,50,48,49,59,47,47,52,48,45
,BURGLARY                              ,162,140,153,112,114,138,130,140,163,102,111,101,88,92,91,80,61,46
,GRAND LARCENY                         ,101,90,116,137,166,233,175,181,191,171,147,175,183,171,194,163,145,143
,GRAND LARCENY OF MOTOR VEHICLE                                  ,266,193,143,131,95,96,114,87,81,51,39,48,31,40,30,20,23,22
,TOTAL SEVEN MAJOR FELONY OFFENSES,636,514,495,467,464,570,475,496,515,414,371,413,396,378,378,348,302,272
DOC,MURDER & NON NEGL. MANSLAUGHTER                                ,,,,,,,,,,,,,,,0,0,0,0
,RAPE                                  ,,,,,,,,,,,,,,,0,3,2,0
,ROBBERY                               ,,,,,,,,,,,,,,,6,1,0,4
,FELONY ASSAULT                        ,,,,,,,,,,,,,,,402,374,501,390
,BURGLARY                              ,,,,,,,,,,,,,,,0,0,0,0
,GRAND LARCENY                         ,,,,,,,,,,,,,,,5,1,6,1
,GRAND LARCENY OF MOTOR VEHICLE                                  ,,,,,,,,,,,,,,,0,0,0,0
,TOTAL SEVEN MAJOR FELONY OFFENSES,,,,,,,,,,,,,,,413,379,509,395
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
STATISTICAL NOTES,,,,,,,,,,,,,,,,,,,
1. 2000-2005 Data Source-Historical Comfinal data including Complaint Follow-Up data.  Compiled from aggregated monthly tapes 2000 thru 2005.,,,,,,,,,,,,,,,,,,,
2. 2006-2016 Data Source-CDW Omniform System and S-DD5 System (Complaint Follow Up) data by record create date.  ,,,,,,,,,,,,,,,,,,,
"3. Murder & Non-Negligent Manslaughter data source: 2000-2005 Historical Comfinal Data, 2006-2016 Shooting & Homicide Database.",,,,,,,,,,,,,,,,,,,
4. 2000-2009 data as of 12/8/2010.  2010 data as of 1/18/2011. 2011 data as of 1/18/2012. 2012 data as of 4/1/2013. 2013 data as of 1/17/2014. 2014 data as of 1/16/2015. 2015 data as of 1/18/2016. 2016 data as of 1/16/2017. 2017 data as of 1/17/2018.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"5. On Sept. 28, 2012, there was a re-alignment of the boundaries of the 077, 078, and 088 precincts.  Therefore statistics for the 077, 078, and 088 precincts following 2011 are not comparable to earlier years.",,,,,,,,,,,,,,,,,,,
6. The 121 pct was created on 7-1-2013 from parts of the 120 and 122 precinct.  Therefore statistics for 120 and 122 precincts following 2012 are not comparable to earlier years.,,,,,,,,,,,,,,,,,,,
"7. As of 1-1-2014 complaints occurring within the jurisdiction of the Department of Correction have been disaggregated from the precinct crime totals and are denoted in ""Pct"" column as ""DOC"".",,,,,,,,,,,,,,,,,,,
