Violation Offenses,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
PCT,CRIME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
1,HARASSMENT 2                          ,971,859,806,760,705,597,564,601,507,404,405,398,451,451,474,537,682,712
,OTHER VIOLATIONS (1),91,49,59,59,81,17,28,91,62,43,33,249,298,47,134,58,42,122
,TOTAL VIOLATION OFFENSES,1062,908,865,819,786,614,592,692,569,447,438,647,749,498,608,595,724,834
5,HARASSMENT 2                          ,524,533,506,481,383,456,377,407,366,398,399,368,430,343,376,399,446,445
,OTHER VIOLATIONS (1),47,30,92,26,13,12,17,20,108,57,32,58,38,19,51,22,49,28
,TOTAL VIOLATION OFFENSES,571,563,598,507,396,468,394,427,474,455,431,426,468,362,427,421,495,473
6,HARASSMENT 2                          ,776,752,663,527,485,433,420,408,400,393,473,412,376,364,391,386,447,387
,OTHER VIOLATIONS (1),70,62,49,69,26,113,116,47,43,42,29,138,98,69,67,43,11,30
,TOTAL VIOLATION OFFENSES,846,814,712,596,511,546,536,455,443,435,502,550,474,433,458,429,458,417
7,HARASSMENT 2                          ,585,534,513,480,427,499,475,453,536,427,419,374,441,419,491,570,604,481
,OTHER VIOLATIONS (1),9,13,21,20,13,18,15,27,35,38,35,42,46,19,15,16,10,16
,TOTAL VIOLATION OFFENSES,594,547,534,500,440,517,490,480,571,465,454,416,487,438,506,586,614,497
9,HARASSMENT 2                          ,948,938,892,820,761,794,689,594,649,639,612,618,608,574,565,538,560,529
,OTHER VIOLATIONS (1),84,59,79,44,48,32,71,46,58,56,39,44,70,31,19,25,24,11
,TOTAL VIOLATION OFFENSES,1032,997,971,864,809,826,760,640,707,695,651,662,678,605,584,563,584,540
10,HARASSMENT 2                          ,598,560,586,561,650,551,493,457,455,437,396,366,367,390,388,374,431,454
,OTHER VIOLATIONS (1),21,24,17,33,54,35,31,20,27,29,25,29,37,47,32,16,9,6
,TOTAL VIOLATION OFFENSES,619,584,603,594,704,586,524,477,482,466,421,395,404,437,420,390,440,460
13,HARASSMENT 2                          ,1139,1013,1043,848,916,940,792,837,825,643,580,576,654,674,636,681,621,650
,OTHER VIOLATIONS (1),41,23,49,28,147,42,90,74,50,74,86,107,68,58,56,84,36,42
,TOTAL VIOLATION OFFENSES,1180,1036,1092,876,1063,982,882,911,875,717,666,683,722,732,692,765,657,692
14,HARASSMENT 2                          ,1262,1204,972,773,757,789,765,691,650,553,531,526,584,514,606,596,636,681
,OTHER VIOLATIONS (1),440,356,546,524,630,257,349,402,478,568,354,229,234,181,249,145,93,83
,TOTAL VIOLATION OFFENSES,1702,1560,1518,1297,1387,1046,1114,1093,1128,1121,885,755,818,695,855,741,729,764
17,HARASSMENT 2                          ,747,681,637,508,470,385,374,348,323,265,298,240,259,239,303,366,387,500
,OTHER VIOLATIONS (1),40,157,58,142,92,110,163,153,173,148,95,64,63,81,57,64,52,52
,TOTAL VIOLATION OFFENSES,787,838,695,650,562,495,537,501,496,413,393,304,322,320,360,430,439,552
18,HARASSMENT 2                          ,1481,1320,1111,960,900,762,735,809,788,692,727,637,751,875,935,970,999,947
,OTHER VIOLATIONS (1),137,46,54,321,94,90,102,101,129,190,171,208,149,129,169,89,64,107
,TOTAL VIOLATION OFFENSES,1618,1366,1165,1281,994,852,837,910,917,882,898,845,900,1004,1104,1059,1063,1054
19,HARASSMENT 2                          ,1294,1321,1039,1052,1035,920,789,626,472,494,534,508,501,505,467,531,673,670
,OTHER VIOLATIONS (1),26,34,49,29,24,53,56,54,53,24,54,36,43,26,21,10,9,10
,TOTAL VIOLATION OFFENSES,1320,1355,1088,1081,1059,973,845,680,525,518,588,544,544,531,488,541,682,680
20,HARASSMENT 2                          ,817,932,651,544,471,540,491,486,483,459,503,475,486,499,530,499,464,537
,OTHER VIOLATIONS (1),22,33,24,8,24,43,31,21,24,27,38,39,38,18,31,6,56,42
,TOTAL VIOLATION OFFENSES,839,965,675,552,495,583,522,507,507,486,541,514,524,517,561,505,520,579
22,HARASSMENT 2                          ,47,29,37,26,21,26,27,29,35,24,24,36,46,42,46,37,47,41
,OTHER VIOLATIONS (1),2,1,2,2,3,4,5,23,9,6,10,11,8,4,3,2,3,1
,TOTAL VIOLATION OFFENSES,49,30,39,28,24,30,32,52,44,30,34,47,54,46,49,39,50,42
23,HARASSMENT 2                          ,1169,1253,1119,932,881,1037,924,920,929,978,764,771,743,790,816,824,858,883
,OTHER VIOLATIONS (1),64,48,54,54,64,86,120,72,72,124,115,108,98,65,42,27,24,15
,TOTAL VIOLATION OFFENSES,1233,1301,1173,986,945,1123,1044,992,1001,1102,879,879,841,855,858,851,882,898
24,HARASSMENT 2                          ,882,989,872,812,789,810,898,789,767,738,714,620,689,604,663,670,698,713
,OTHER VIOLATIONS (1),17,28,25,18,21,31,30,39,43,55,51,42,47,18,56,9,3,5
,TOTAL VIOLATION OFFENSES,899,1017,897,830,810,841,928,828,810,793,765,662,736,622,719,679,701,718
25,HARASSMENT 2                          ,1033,1123,1088,981,894,943,859,870,777,787,694,607,653,664,625,732,695,706
,OTHER VIOLATIONS (1),33,87,76,46,52,63,49,67,121,127,165,101,82,85,61,43,25,22
,TOTAL VIOLATION OFFENSES,1066,1210,1164,1027,946,1006,908,937,898,914,859,708,735,749,686,775,720,728
26,HARASSMENT 2                          ,574,588,524,445,409,434,472,460,361,401,373,336,350,329,381,349,386,375
,OTHER VIOLATIONS (1),37,34,44,29,45,35,27,41,36,56,33,56,56,42,33,14,3,9
,TOTAL VIOLATION OFFENSES,611,622,568,474,454,469,499,501,397,457,406,392,406,371,414,363,389,384
28,HARASSMENT 2                          ,1056,1209,1043,906,836,837,761,760,678,658,628,475,563,534,626,606,757,708
,OTHER VIOLATIONS (1),28,27,48,27,40,41,90,59,58,101,71,96,73,35,31,19,14,5
,TOTAL VIOLATION OFFENSES,1084,1236,1091,933,876,878,851,819,736,759,699,571,636,569,657,625,771,713
30,HARASSMENT 2                          ,993,1028,891,858,795,778,654,573,571,549,526,536,653,570,615,582,594,579
,OTHER VIOLATIONS (1),63,73,56,33,28,57,41,59,34,80,71,57,31,47,32,27,9,6
,TOTAL VIOLATION OFFENSES,1056,1101,947,891,823,835,695,632,605,629,597,593,684,617,647,609,603,585
32,HARASSMENT 2                          ,1299,1447,1117,1066,1122,1067,856,1011,941,1033,1018,952,925,898,923,1001,1001,904
,OTHER VIOLATIONS (1),56,37,35,37,50,70,81,113,191,313,176,232,104,62,48,35,13,9
,TOTAL VIOLATION OFFENSES,1355,1484,1152,1103,1172,1137,937,1124,1132,1346,1194,1184,1029,960,971,1036,1014,913
33,HARASSMENT 2                          ,860,878,786,744,650,687,634,582,484,474,494,497,473,470,445,520,570,498
,OTHER VIOLATIONS (1),31,41,41,54,55,35,57,81,63,90,105,95,60,60,26,21,12,7
,TOTAL VIOLATION OFFENSES,891,919,827,798,705,722,691,663,547,564,599,592,533,530,471,541,582,505
34,HARASSMENT 2                          ,1171,1262,1030,727,847,659,587,568,481,452,510,568,528,485,690,716,690,650
,OTHER VIOLATIONS (1),27,37,33,32,25,34,43,42,44,39,36,44,65,37,58,35,18,7
,TOTAL VIOLATION OFFENSES,1198,1299,1063,759,872,693,630,610,525,491,546,612,593,522,748,751,708,657
40,HARASSMENT 2                          ,2210,2393,2060,1884,1848,1802,1540,1659,1558,1561,1488,1342,1364,1282,1356,1357,1587,1702
,OTHER VIOLATIONS (1),119,75,81,96,63,91,60,50,49,50,62,46,48,35,36,24,19,25
,TOTAL VIOLATION OFFENSES,2329,2468,2141,1980,1911,1893,1600,1709,1607,1611,1550,1388,1412,1317,1392,1381,1606,1727
41,HARASSMENT 2                          ,1101,1276,1186,1107,1028,1011,913,927,874,810,741,715,808,909,922,801,779,833
,OTHER VIOLATIONS (1),28,26,13,21,35,29,34,45,40,30,20,31,14,20,19,15,13,14
,TOTAL VIOLATION OFFENSES,1129,1302,1199,1128,1063,1040,947,972,914,840,761,746,822,929,941,816,792,847
42,HARASSMENT 2                          ,2026,1741,1566,1557,1471,1376,1260,1215,922,865,812,810,906,912,1086,1005,1094,1160
,OTHER VIOLATIONS (1),43,45,30,37,32,30,26,22,7,20,18,15,21,11,17,7,8,5
,TOTAL VIOLATION OFFENSES,2069,1786,1596,1594,1503,1406,1286,1237,929,885,830,825,927,923,1103,1012,1102,1165
43,HARASSMENT 2                          ,2877,2932,2656,2394,2238,2164,1873,1659,1603,1543,1530,1561,1549,1575,1564,1630,1757,1688
,OTHER VIOLATIONS (1),66,32,23,39,54,55,55,49,42,46,38,69,51,52,48,17,13,18
,TOTAL VIOLATION OFFENSES,2943,2964,2679,2433,2292,2219,1928,1708,1645,1589,1568,1630,1600,1627,1612,1647,1770,1706
44,HARASSMENT 2                          ,3194,3156,2349,2295,1937,1587,1557,1141,1055,1149,1108,1072,1213,1318,1250,1346,1596,1760
,OTHER VIOLATIONS (1),92,55,72,72,36,53,62,49,33,56,81,51,35,32,28,28,16,19
,TOTAL VIOLATION OFFENSES,3286,3211,2421,2367,1973,1640,1619,1190,1088,1205,1189,1123,1248,1350,1278,1374,1612,1779
45,HARASSMENT 2                          ,1642,1588,1398,1351,1321,1153,1084,1033,886,926,966,857,806,845,1004,1000,1104,1213
,OTHER VIOLATIONS (1),43,21,16,13,18,30,37,16,27,31,19,8,11,10,12,16,7,12
,TOTAL VIOLATION OFFENSES,1685,1609,1414,1364,1339,1183,1121,1049,913,957,985,865,817,855,1016,1016,1111,1225
46,HARASSMENT 2                          ,2418,2335,1817,2029,1918,1592,1601,1525,1274,1305,1385,1177,1239,1262,1215,1419,1598,1446
,OTHER VIOLATIONS (1),60,63,39,42,52,53,39,26,14,32,23,48,54,21,12,12,7,11
,TOTAL VIOLATION OFFENSES,2478,2398,1856,2071,1970,1645,1640,1551,1288,1337,1408,1225,1293,1283,1227,1431,1605,1457
47,HARASSMENT 2                          ,2496,2348,2245,1789,1854,1665,1289,1234,1094,1014,936,872,1084,1044,1135,1246,1709,1508
,OTHER VIOLATIONS (1),74,63,45,50,46,43,33,24,36,44,29,20,22,21,24,14,11,11
,TOTAL VIOLATION OFFENSES,2570,2411,2290,1839,1900,1708,1322,1258,1130,1058,965,892,1106,1065,1159,1260,1720,1519
48,HARASSMENT 2                          ,1785,1731,1432,1215,1055,1010,971,922,660,689,738,670,816,840,909,1005,1049,1199
,OTHER VIOLATIONS (1),21,24,68,86,160,26,29,48,35,67,31,21,17,13,10,9,10,6
,TOTAL VIOLATION OFFENSES,1806,1755,1500,1301,1215,1036,1000,970,695,756,769,691,833,853,919,1014,1059,1205
49,HARASSMENT 2                          ,1550,1722,1717,1482,1293,1066,1196,1248,1044,924,947,929,752,797,769,794,875,963
,OTHER VIOLATIONS (1),28,78,56,31,34,31,42,24,31,14,24,7,13,17,17,7,6,3
,TOTAL VIOLATION OFFENSES,1578,1800,1773,1513,1327,1097,1238,1272,1075,938,971,936,765,814,786,801,881,966
50,HARASSMENT 2                          ,1100,1022,930,732,728,856,699,736,771,642,633,505,471,530,516,569,580,617
,OTHER VIOLATIONS (1),21,17,20,20,12,4,12,7,10,7,8,15,11,4,9,5,8,2
,TOTAL VIOLATION OFFENSES,1121,1039,950,752,740,860,711,743,781,649,641,520,482,534,525,574,588,619
52,HARASSMENT 2                          ,2126,2297,2202,1979,1776,1662,1436,1282,1143,1000,938,1052,1029,1004,1141,1047,1051,1158
,OTHER VIOLATIONS (1),120,56,80,64,81,43,42,38,21,36,20,42,12,20,23,18,9,10
,TOTAL VIOLATION OFFENSES,2246,2353,2282,2043,1857,1705,1478,1320,1164,1036,958,1094,1041,1024,1164,1065,1060,1168
60,HARASSMENT 2                          ,1142,1098,961,988,943,878,1020,824,789,746,676,709,645,667,835,897,864,772
,OTHER VIOLATIONS (1),29,32,16,27,18,30,42,32,35,62,54,42,33,27,24,24,36,28
,TOTAL VIOLATION OFFENSES,1171,1130,977,1015,961,908,1062,856,824,808,730,751,678,694,859,921,900,800
61,HARASSMENT 2                          ,1417,1530,1247,1241,1234,1220,1127,1008,882,851,769,610,697,632,654,632,629,630
,OTHER VIOLATIONS (1),20,31,17,21,25,20,22,31,19,31,18,23,20,12,21,14,16,10
,TOTAL VIOLATION OFFENSES,1437,1561,1264,1262,1259,1240,1149,1039,901,882,787,633,717,644,675,646,645,640
62,HARASSMENT 2                          ,1453,1340,1024,952,859,1067,1090,977,855,776,797,767,819,818,925,830,717,725
,OTHER VIOLATIONS (1),20,12,44,26,11,15,25,16,17,21,14,14,10,22,21,10,13,12
,TOTAL VIOLATION OFFENSES,1473,1352,1068,978,870,1082,1115,993,872,797,811,781,829,840,946,840,730,737
63,HARASSMENT 2                          ,1214,1317,1074,1091,1098,1070,968,848,767,739,696,534,506,515,582,706,734,695
,OTHER VIOLATIONS (1),9,14,5,9,10,15,27,35,8,7,15,58,16,20,12,16,22,14
,TOTAL VIOLATION OFFENSES,1223,1331,1079,1100,1108,1085,995,883,775,746,711,592,522,535,594,722,756,709
66,HARASSMENT 2                          ,1110,1065,755,760,654,755,730,685,622,633,593,640,651,574,524,592,552,574
,OTHER VIOLATIONS (1),5,10,11,9,15,27,21,34,17,18,11,15,8,13,9,6,3,6
,TOTAL VIOLATION OFFENSES,1115,1075,766,769,669,782,751,719,639,651,604,655,659,587,533,598,555,580
67,HARASSMENT 2                          ,2300,2429,1945,1805,1575,1312,1182,926,969,964,1076,1032,1084,1233,1638,1612,1856,1636
,OTHER VIOLATIONS (1),47,84,54,40,52,41,83,60,50,61,57,60,50,61,35,41,20,22
,TOTAL VIOLATION OFFENSES,2347,2513,1999,1845,1627,1353,1265,986,1019,1025,1133,1092,1134,1294,1673,1653,1876,1658
68,HARASSMENT 2                          ,1101,1237,916,971,870,883,815,764,823,733,681,708,720,748,616,772,730,634
,OTHER VIOLATIONS (1),18,18,14,7,11,13,23,18,26,17,13,12,10,20,15,21,22,15
,TOTAL VIOLATION OFFENSES,1119,1255,930,978,881,896,838,782,849,750,694,720,730,768,631,793,752,649
