Neighborhood,Weight_2015,Weight_2016,Weight_2017,Variance
Stuyvesant Town,2.5,2.4,2.15,-0.13953488372093037
Manhattan Beach,2.3361111111111112,2.3499999999999996,2.1500000000000004,-0.08979328165374655
Gowanus,2.5833333333333335,2.4000000000000004,2.3166666666666664,-0.07553956834532405
Country Club,2.55,2.5,2.35, -0.0744680851063829
Vinegar Hill,2.75,2.5,2.45,-0.07142857142857136
Arden Heights,2.2499999999999996,2.2666666666666666,2.1166666666666667,-0.06692913385826747
Unionport,2.4375,2.3875,2.2624999999999997,-0.06629834254143663
Sea Gate,2.4,2.5,2.3,-0.06521739130434799
Morris Park,2.45,2.4,2.3,-0.05434782608695653
Park Hill,2.55,2.5,2.4,-0.05208333333333
Central Park,2.6,2.6500000000000004,2.5,-0.05
Concord,2.625,2.675,2.525,-0.04950495049504951
Prospect Heights, 2.362698412698413,2.3463789682539686,2.2483225108225104,-0.04724241257310672
Middle Village, 2.229166666666667,2.340625,2.1875,-0.04452380952380963
DUMBO,2.475,2.525,2.4,-0.04166666666666
East Elmhurst, 2.280263157894737,2.3625,2.2305555555555556,-0.04071901422297958
College Point,2.6,2.7,2.55,-0.03921568627451002
Fort Hamilton,2.65,2.75,2.6,-0.03846153846153849
Red Hook,2.8,2.9,2.75,-0.03636363636363624
Bloomfield, 2.311111111111111,2.48125,2.3125,-0.03618618618618618